No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ABELL 0402,02h57m41.3280s,-22d09m14.400s,44.4222,-22.154,0.3218,96473.2129844,UUN,GClstr,Xray,57,0,1,29,29,0,0,0,0,0
2,ABELL 1300,11h31m55.2000s,-19d55m50.880s,172.98,-19.9308,0.3067229995359,91953.2419560003,SUN,GClstr,"IR,Xray",139,1,1,33,42,0,0,0,0,0
3,ABELL 1722,13h20m08.4000s,+70d04m37.000s,200.035,70.07694444444,0.327499986,98182.0257979056,SUN,GClstr,,58,1,1,10,11,0,0,0,0,0
4,ABELL 2552,23h11m26.8994s,+03d35m18.629s,347.86208099015,3.58850814433,0.133000001,39872.3972137925,SUN,GClstr,"IR,Xray",51,0,0,3,7,0,0,0,0,0
5,ABELL 2744,00h14m20.9520s,-30d23m53.880s,3.5873,-30.3983,0.3058,91676.5336564,SUN,GClstr,Xray,612,4,4,55,119,0,0,0,3,0
6,MACS J2140.2-2339,21h40m15.1000s,-23d39m40.000s,325.06291666667,-23.66111111111,0.313,93835.039354,SUN,GClstr,Xray,228,3,6,45,67,0,0,0,2,0
7,LCDCS 0829,13h47m32.0000s,-11d45m42.000s,206.88333333333,-11.76166666667,0.4503,134996.5438374,SUN,GClstr,Xray,392,3,7,81,122,0,15,12,0,0
8,WISEA J182419.03+430949.5,18h24m19.0387s,+43d09m49.581s,276.0793281,43.1637725,0.487,145998.927046,SUN,,"IR,Radio,UV,Vis,Xray",17,0,37,14,2,5,0,0,0,0
9,MACS J2228.5+2036,22h28m33.7200s,+20d37m16.320s,337.1405,20.6212,0.4120774274047,123537.704847972,SUN,GClstr,"IR,Radio,Xray",116,0,1,37,51,0,6,6,0,0
10,MACS J0404.6+1109,04h04m37.8517s,+11d09m50.671s,61.15771541667,11.16407527778,0.3548,106366.3640984,SUN,GClstr,Xray,33,1,1,4,6,0,0,0,0,0
11,MACS J1115.8+0129,11h15m51.9024s,+01d29m55.068s,168.96626,1.49863,0.352,105526.945216,SUN,GClstr,Xray,126,0,1,45,66,0,0,0,0,0
12,MACS J1720.2+3536,17h20m16.7736s,+35d36m26.496s,260.06989,35.60736,0.387,116019.681246,SUN,GClstr,"Radio,Xray",132,1,1,47,72,0,0,0,0,0
13,MACS J2311.5+0338,23h11m33.2232s,+03d38m03.732s,347.88843,3.63437,0.303,90837.114774,SUN,GClstr,"IR,Xray",38,0,1,27,31,0,0,0,0,0
14,MACS J1532.8+3021,15h32m53.8000s,+30d20m57.000s,233.224166666667,30.3491666666667,0.3625,108674.766025,SUN,GClstr,Xray,175,2,6,56,84,0,0,0,0,0
15,MACS J2245.0+2637,22h45m04.6656s,+26d38m04.632s,341.26944,26.63462,0.3104124,93059.2963896792,PUN,GClstr,"Vis,Xray",42,0,1,20,22,0,0,0,0,0
16,MACS J0417.5-1154,04h17m34.8000s,-11d54m35.000s,64.395,-11.9097222222222,0.443,132808.058894,SUN,GClstr,"IR,Xray",90,0,2,29,39,0,0,0,0,0
17,WISEA J154203.09-291509.2,15h42m03.0950s,-29d15m09.298s,235.5128961,-29.252583,,,,,"Gamma,IR,Radio,Vis,Xray",22,0,44,16,0,3,0,0,0,0
