recno,Seq,f_Seq,Type,RAJ2000,DEJ2000,Ng,z1,e_z1,z2,e_z2,f_sig1,sig1,e_sig1,E_sig1,sig2,e_sig2,E_sig2,Eps,zbin0,zbin1,Cl
1,1, ,s,53.122499999999995,-27.96861111111111,45,0.1253,3.0E-4,,, ,428,40,40,,,,0.3,0.11,0.14,"5  "
2,1, ,p,53.099999999999994,-27.998333333333328,38,0.119,0.002,,, ,,,,,,,0.21,0.1,0.15,"   "
3,2, ,s,53.335833333333326,-27.70222222222222,14,0.1471,3.0E-4,,, ,267,76,76,,,,0.27,0.135,0.165,"3  "
4,2, ,p,53.28708333333333,-27.720277777777774,11,0.149,0.001,,, ,,,,,,,0.2,0.125,0.175,"   "
5,3,d,s,53.26208333333333,-27.982499999999995,19,0.1463,3.0E-4,0.1638,3.0E-4, ,213,64,64,152,29,79,0.27,0.135,0.165,"3,3"
6,3, ,p,53.263749999999995,-27.96333333333333,9,0.148,0.001,,, ,,,,,,,0.2,0.125,0.175,"   "
7,4, ,s,53.20208333333333,-27.658333333333328,15,0.1487,0.001,,, ,933,213,213,,,,0.27,0.135,0.165,"1  "
8,4, ,p,53.18541666666666,-27.653888888888886,18,0.148,0.002,,, ,,,,,,,0.2,0.125,0.175,"   "
9,5, ,s,53.328333333333326,-27.821388888888887,36,0.1267,4.0E-4,,, ,575,70,70,,,,0.3,0.11,0.14,"5  "
10,5, ,p,53.313333333333325,-27.82083333333333,63,0.13,0.001,,, ,,,,,,,0.21,0.1,0.15,"   "
11,6,e,s,,,,,,,, ,,,,,,,,,,"   "
12,6, ,p,53.12791666666666,-27.57222222222222,23,0.141,0.002,,, ,,,,,,,0.2,0.115,0.165,"   "
13,7, ,s,52.91083333333333,-27.749722222222218,10,0.1796,3.0E-4,,, ,230,52,52,,,,0.45,0.165,0.195,"3  "
14,7, ,p,52.92291666666666,-27.763888888888886,26,0.183,0.002,,, ,,,,,,,0.4,0.155,0.205,"   "
15,8, ,s,53.22166666666666,-28.040555555555553,14,0.2136,2.0E-4,,,f,183,47,47,,,,0.43,0.2,0.23,"3  "
16,8, ,p,53.21541666666666,-28.03805555555555,13,0.217,0.002,,, ,,,,,,,0.42,0.195,0.235,"   "
17,9, ,s,53.19499999999999,-27.769999999999996,12,0.2167,0.0013,,, ,1010,291,291,,,,0.43,0.2,0.23,"1  "
18,9, ,p,53.19499999999999,-27.777499999999996,12,0.224,0.002,,, ,,,,,,,0.42,0.195,0.235,"   "
19,10, ,s,53.019999999999996,-27.99472222222222,18,0.2142,1.0E-4,,, ,100,68,68,,,,0.43,0.2,0.23,"2  "
