recno,ID,Ng,Name,RAJ2000,DEJ2000,zlambda,e_zlambda,lambda,e_lambda,S,zspec,ObjID,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zLum,PCen0,PCen1,PCen2,PCen3,PCen4,ID0,RA0deg,DE0deg,ID1,RA1deg,DE1deg,ID2,RA2deg,DE2deg,ID3,RA3deg,DE3deg,ID4,RA4deg,DE4deg,PZbin1,PZbin2,PZbin3,PZbin4,PZbin5,PZbin6,PZbin7,PZbin8,PZbin9,PZbin10,PZbin11,PZbin12,PZbin13,PZbin14,PZbin15,PZbin16,PZbin17,PZbin18,PZbin19,PZbin20,PZbin21,PZ1,PZ2,PZ3,PZ4,PZ5,PZ6,PZ7,PZ8,PZ9,PZ10,PZ11,PZ12,PZ13,PZ14,PZ15,PZ16,PZ17,PZ18,PZ19,PZ20,PZ21
689,1162,43,"RMJ022334.5-071046.7",35.893797,-7.179652,0.279,0.0173,25.86,2.74,1.043,0.27966,2939172968,19.6121,0.0064,18.1706,0.0018,17.6932,0.0015,17.3872,0.0015,12.7753,0.876,0.117,0.0043,0.00114,9.69E-4,2939172968,35.893799,-7.179652,2939170513,35.902008,-7.199856,2939167756,35.8913,-7.22583,2939170563,35.894417,-7.194152,2939170436,35.899426,-7.197537,0.1587,0.1708,0.1828,0.1948,0.2068,0.2189,0.2309,0.2429,0.2549,0.267,0.279,0.291,0.303,0.3151,0.3271,0.3391,0.3511,0.3632,0.3752,0.3872,0.3992,1.12E-20,3.0E-15,6.31E-11,1.42E-7,6.25E-5,0.00621,0.179,1.79,8.1,18.3,23.1,18.1,9.36,3.36,0.874,0.175,0.0265,0.00325,3.38E-4,3.27E-5,2.83E-6
724,1232,58,"RMJ022310.6-071048.0",35.794137,-7.180002,0.6906,0.0198,28.25,2.73,1.007,0.72039,2939171828,21.9787,0.0343,20.2776,0.0076,19.2177,0.0037,18.7415,0.0033,21.8908,0.932,0.0579,0.00478,0.00316,0.00175,2939171828,35.794136,-7.180002,2939171848,35.794441,-7.1784,2939171633,35.795971,-7.181959,2939172168,35.794231,-7.177306,2939171677,35.793453,-7.180918,0.5681,0.5803,0.5926,0.6048,0.6171,0.6293,0.6416,0.6538,0.6661,0.6783,0.6906,0.7028,0.7151,0.7274,0.7396,0.7519,0.7641,0.7764,0.7886,0.8009,0.8131,5.89E-15,3.66E-10,8.48E-7,1.62E-4,0.00566,0.0737,0.508,2.43,7.94,16.1,20.2,16.6,9.81,4.87,2.15,0.842,0.256,0.0455,0.00387,1.4E-4,2.49E-6
839,1475,36,"RMJ022402.3-065124.4",36.009693,-6.85677,0.2748,0.0167,20.57,2.12,1.01,0.28079,2939199532,18.6789,0.0027,17.1928,8.0E-4,16.7162,6.0E-4,16.4103,7.0E-4,20.8645,0.862,0.0819,0.0531,0.00159,9.86E-4,2939199532,36.009693,-6.85677,2939198430,36.019073,-6.86584,2939198856,36.010593,-6.857408,2939199275,36.01115,-6.855542,2939200420,36.023972,-6.840024,0.1573,0.169,0.1808,0.1926,0.2043,0.2161,0.2278,0.2396,0.2513,0.2631,0.2748,0.2866,0.2983,0.3101,0.3219,0.3336,0.3454,0.3571,0.3689,0.3806,0.3924,3.48E-21,1.13E-15,2.86E-11,8.57E-8,4.33E-5,0.00489,0.157,1.71,8.08,18.7,23.9,18.7,9.61,3.45,0.9,0.177,0.0269,0.0033,3.41E-4,3.26E-5,2.79E-6
890,1582,44,"RMJ022030.9-064931.7",35.128912,-6.825476,0.3382,0.0172,23.85,2.53,1.015,0.328341,2937880622,19.6162,0.0081,17.9881,0.0018,17.4567,0.0016,17.1389,0.0016,19.8526,0.642,0.358,9.97E-5,2.57E-5,8.86E-6,2937880622,35.128914,-6.825476,2937880889,35.127068,-6.825625,2937880459,35.127136,-6.822973,2937879051,35.13448,-6.837225,2937878841,35.145962,-6.841301,0.2371,0.2472,0.2573,0.2674,0.2775,0.2877,0.2978,0.3079,0.318,0.3281,0.3382,0.3483,0.3584,0.3686,0.3787,0.3888,0.3989,0.409,0.4191,0.4292,0.4393,3.07E-11,1.8E-8,3.22E-6,2.27E-4,0.00713,0.11,0.891,4.14,11.2,19.6,23.2,19.8,12.3,5.56,1.77,0.38,0.0556,0.00557,4.51E-4,3.29E-5,2.57E-6
769,1324,58,"RMJ022151.8-064131.2",35.465865,-6.691995,0.6309,0.0141,28.51,3.06,1.022,0.66221,2940350524,22.8407,0.0568,21.041,0.0121,20.0206,0.006,19.6151,0.0058,23.581,0.535,0.158,0.135,0.126,0.0463,2940350524,35.465866,-6.691995,2940350573,35.465176,-6.693522,2940349426,35.455631,-6.706738,2940350472,35.4664,-6.692478,2940349212,35.454105,-6.708904,0.5347,0.5443,0.5539,0.5635,0.5732,0.5828,0.5924,0.602,0.6116,0.6213,0.6309,0.6405,0.6501,0.6598,0.6694,0.679,0.6886,0.6982,0.7079,0.7175,0.7271,4.15E-33,1.38E-25,7.41E-19,4.21E-13,2.11E-8,8.13E-5,0.0288,1.14,8.74,22.3,28.3,22.9,13.2,5.56,1.66,0.343,0.0485,0.00523,4.64E-4,3.82E-5,3.03E-6
343,553,47,"RMJ022134.7-062618.1",35.394723,-6.438357,0.3071,0.0185,29.2,2.26,1.009,0.314009,2940373149,19.5227,0.0053,17.996,0.0013,17.4924,0.0012,17.1889,0.0013,18.2136,0.994,0.00375,0.00189,6.32E-5,4.93E-5,2940373149,35.394722,-6.438357,2940371932,35.388023,-6.444563,2940372985,35.391479,-6.43798,2940372595,35.393784,-6.43676,2940371821,35.405251,-6.445293,0.1584,0.1732,0.1881,0.203,0.2179,0.2327,0.2476,0.2625,0.2774,0.2922,0.3071,0.322,0.3368,0.3517,0.3666,0.3815,0.3963,0.4112,0.4261,0.441,0.4558,1.65E-25,5.97E-19,9.79E-14,1.1E-9,1.78E-6,5.13E-4,0.035,0.715,5.22,15.7,21.7,15.6,6.5,1.8,0.378,0.0675,0.0112,0.00184,2.65E-4,3.04E-5,2.56E-6
1087,2121,47,"RMJ022046.8-063028.3",35.195152,-6.507853,0.5952,0.0116,21.98,2.55,1.004,0.582721,2940071676,22.1488,0.081,20.5483,0.0244,19.6878,0.0099,19.2727,0.0098,16.2278,0.924,0.0504,0.0174,0.00618,0.00171,2940071676,35.195152,-6.507853,2940071418,35.188225,-6.509304,2940071689,35.187851,-6.505894,2940071863,35.18914,-6.505457,2940070389,35.192818,-6.521161,0.49,0.5005,0.511,0.5216,0.5321,0.5426,0.5531,0.5636,0.5742,0.5847,0.5952,0.6057,0.6162,0.6267,0.6373,0.6478,0.6583,0.6688,0.6793,0.6899,0.7004,1.32E-24,1.5E-19,2.7E-15,1.33E-11,1.94E-8,1.12E-5,0.00239,0.183,3.99,21.5,34.8,22.9,9.1,2.89,0.797,0.195,0.039,0.00563,6.17E-4,5.23E-5,3.99E-6
1186,2523,53,"RMJ022042.9-062226.6",35.178777,-6.374062,0.6408,0.0164,27.23,3.57,1.061,0.66166,2940082640,22.8227,0.0631,21.1713,0.015,20.2254,0.0091,19.8101,0.0088,15.8998,0.712,0.287,3.11E-4,1.7E-4,2.74E-5,2940082640,35.178776,-6.374062,2940082650,35.178085,-6.371269,2940082362,35.19503,-6.37291,2940084599,35.198105,-6.350136,2940083012,35.172241,-6.365562,0.525,0.5366,0.5481,0.5597,0.5713,0.5829,0.5945,0.6061,0.6177,0.6293,0.6408,0.6524,0.664,0.6756,0.6872,0.6988,0.7104,0.722,0.7335,0.7451,0.7567,8.65E-33,3.71E-25,2.29E-18,1.78E-12,1.05E-7,3.18E-4,0.0684,1.62,8.63,19.1,24.2,19.5,9.76,2.98,0.595,0.0886,0.0118,0.00165,2.38E-4,3.05E-5,2.88E-6
317,501,51,"RMJ021808.4-062243.9",34.534976,-6.378853,0.2492,0.011,31.82,2.55,1.005,0.2356,2939907500,18.1896,0.0064,16.8449,0.0033,16.3969,0.0021,16.1013,0.0022,22.6477,0.997,0.00153,6.88E-4,3.14E-4,5.03E-5,2939907500,34.534977,-6.378853,2939905606,34.532787,-6.382426,2939906094,34.507866,-6.373209,2939905773,34.546459,-6.379842,2939907386,34.494209,-6.366186,0.1727,0.1804,0.188,0.1957,0.2033,0.211,0.2186,0.2263,0.2339,0.2416,0.2492,0.2569,0.2645,0.2721,0.2798,0.2874,0.2951,0.3027,0.3104,0.318,0.3257,2.05E-16,2.09E-12,5.1E-9,2.5E-6,4.04E-4,0.0197,0.401,3.32,13.8,29.4,36.3,27.7,14.0,4.86,1.28,0.248,0.0401,0.00506,5.66E-4,5.12E-5,4.27E-6
920,1652,64,"RMJ021635.0-061845.6",34.145931,-6.312659,0.4856,0.0134,28.86,3.33,1.034,,2939910454,21.579,0.087,19.859,0.0159,19.2877,0.0214,18.9026,0.0201,16.479,0.922,0.0479,0.0294,5.11E-4,2.69E-4,2939910454,34.145931,-6.312659,2939912327,34.154972,-6.291706,2939910557,34.158588,-6.308399,2939909296,34.142025,-6.312049,2939912371,34.137253,-6.290096,0.4039,0.4121,0.4202,0.4284,0.4366,0.4447,0.4529,0.4611,0.4693,0.4774,0.4856,0.4938,0.5019,0.5101,0.5183,0.5265,0.5346,0.5428,0.551,0.5591,0.5673,4.01E-6,4.25E-5,4.13E-4,0.00387,0.0315,0.226,1.26,4.95,13.6,24.7,29.8,24.6,14.3,6.31,2.09,0.542,0.103,0.0143,0.00144,9.21E-5,3.65E-6
