recno,f_Cluster,Cluster,m_Cluster,n_Cluster,RAJ2000,DEJ2000,z,u_z,Line,Exp,AirM,A(V),PA,n_PA,Ref,Notes,SimbadName
1, ,"A7"," ", ,2.938333333333333,32.41583333333333,0.1017, ,"x  ",1000,1.096,0.374,272, ,"D96"," ","ACO 7"
2, ,"A21","a(SE)",+,5.156249999999999,28.658333333333328,0.0967, ,"x  ",1000,1.529,0.293,155,+,"D96"," ","ACO 21"
3, ,"A21","b(NW)",+,5.154999999999999,28.659999999999997,0.0966, ,"x  ",1000,1.529,0.293,155,+,"D96"," ","ACO 21"
4, ,"A76"," ", ,9.982916666666664,6.8486111111111105,0.0407, ,"x  ",1000,2.194,0.258,62, ,"D96","IC 1568","ACO 76"
5, ,"Z235"," ", ,10.967083333333331,24.40611111111111,0.083, ,"/  ",,,,, ,"C95"," ","ZwCl 0040+2404"
6, ,"A115"," ",+,13.960416666666665,26.41083333333333,0.197, ,"/  ",1000,2.065,0.363,70, ,"D96"," ","ACO 115"
7, ,"RXJ0107.4+3227"," ",+,16.853749999999998,32.41277777777778,0.0175, ,"/  ",1000,1.004,0.359,316, ,"D96","NGC 383","NAME NGC 383 GROUP"
8, ,"A168"," ",+,18.739583333333332,0.43111111111111106,0.0443, ,"[x]",1000,1.904,0.226,234, ,"D96","UGC 797","ACO 168"
9, ,"RXJ0123.2+3327"," ",+,20.798333333333332,33.459999999999994,0.0141, ,"N  ",1000,1.512,0.349,259, ,"D96","NGC 499","NGC 499"
10, ,"RXJ0123.6+3315"," ",+,20.91583333333333,33.2561111111111,0.0169, ,"x  ",1000,1.945,0.349,70, ,"D96","NGC 507","VV 207"
11, ,"A193"," ", ,21.281666666666663,8.69972222222222,0.0484, ,"[x]",1000,1.488,0.307,238, ,"D96","UGC 977","ACO 193"
12, ,"A267"," ", ,28.17458333333333,1.0074999999999998,0.23, ,"x  ",,,,, ,"C95"," ","ACO 267"
13, ,"A262"," ",+,28.193749999999998,36.152222222222214,0.0166, ,"/  ",1000,1.043,0.358,245, ,"D96","NGC 708","ACO 262"
14, ,"A272"," ",+,28.793749999999996,33.89722222222222,0.0898, ,"x  ",1000,1.347,0.373,85, ,"D96"," ","ACO 272"
15, ,"RXJ0228.2+2811"," ", ,37.01499999999999,28.17611111111111,0.0351, ,"x  ",1000,1.608,0.522,70, ,"D96","IC 227","1RXS J022809.3+281057"
16, ,"A376"," ", ,41.51666666666666,36.90583333333333,0.0482, ,"[x]",1000,1.96,0.449,255, ,"D96","UGC 2232","ACO 376"
17, ,"A400","a(N)",+,44.42291666666666,6.026944444444443,0.0238, ,"N  ",1000,1.21,0.63,355,+,"D96","MCG+01-08-027","ACO 400"
18, ,"A400","b(S)",+,44.423333333333325,6.022777777777777,0.0253, ,"N  ",1000,1.21,0.63,355,+,"D96","MCG+01-08-027","ACO 400"
19, ,"A399"," ", ,44.47124999999999,13.031111111111109,0.0699, ,"x  ",1000,1.296,0.727,259, ,"D96","UGC 2438","ACO 399"
20, ,"A401"," ", ,44.74083333333333,13.583055555555553,0.0737, ,"N  ",1000,1.382,0.7,243, ,"D96","UGC 2450","ACO 401"
21, ,"Z808"," ",+,45.40916666666666,1.9208333333333332,0.169, ,"/  ",,,,, ,"C95"," ","ZwCl 0258+0142"
22, ,"A407"," ",+,45.46458333333333,35.84166666666666,0.0484, ,"[x]",1000,1.668,0.82,79, ,"D96","UGC 2489","ACO 407"
23, ,"A409"," ", ,45.83791666666666,1.9261111111111109,0.153, ,"x  ",,,,, ,"C95"," ","ACO 409"
24, ,"RXJ0338.7+0958"," ",+,54.668749999999996,9.969999999999999,0.0338, ,"/  ",1000,1.387,1.187,331,+,"D96"," ","ZwCl 0335+0956"
25, ,"RXJ0341.3+1524"," ",+,55.32291666666666,15.396944444444442,0.029, ,"x  ",,,,, ,"C95"," ","NAME III ZW 54 GROUP"
26, ,"RXJ0352.9+1941"," ", ,58.24541666666666,19.68333333333333,0.109, ,"/  ",,,,,+,"C95"," ","1RXS J035258.9+194117"
27, ,"A478"," ", ,63.355416666666656,10.465555555555554,0.086, ,"/  ",1000,1.058,0.67,315, ,"W94"," ","ACO 478"
28, ,"RXJ0419.6+0225"," ", ,64.90791666666665,2.409722222222222,0.0133, ,"x  ",1000,1.389,0.767,49, ,"D96","NGC 1550","1RXS J041938.6+022439"
29, ,"RXJ0439.0+0715"," ", ,69.75249999999998,7.268055555555555,0.2452, ,"x  ",1000,1.265,0.747,70, ,"D96"," ","1RXS J043901.2+071616"
30, ,"RXJ0439.0+0520"," ", ,69.75916666666666,5.345833333333332,0.208, ,"/  ",,,,, ,"C95"," ","1RXS J043902.0+052050"
31, ,"A520"," ",+,73.51583333333332,2.8924999999999996,0.2024,),"x  ",1000,2.161,0.52,240, ,"D96"," ","ACO 520"
32, ,"A523"," ", ,74.80375,8.828333333333331,0.1036, ,"x  ",1000,1.343,0.8,57, ,"D96"," ","ACO 523"
33, ,"RXJ0503.1+0608"," ", ,75.77916666666665,6.132777777777777,0.088, ,"x  ",,,,, ,"C95"," ","RX J0503.0+0608"
34, ,"A566"," ",+,106.11916666666666,63.31138888888888,0.0945, ,"x  ",1000,1.224,0.348,344, ,"D96","MCG+11-09-031","ACO 566"
35, ,"A576","a",+,110.33958333333332,55.8111111111111,0.0368, ,"x  ",1000,1.123,0.381,7, ,"D96"," ","ACO 576"
36, ,"A576","b",+,110.38541666666666,55.75777777777777,0.0408, ,"x  ",1000,1.123,0.381,7, ,"D96","MCG+09-12-061","ACO 576"
37, ,"A586"," ",+,113.08499999999998,31.633888888888883,0.1702, ,"x  ",1000,1.027,0.343,333, ,"D96"," ","ACO 586"
38, ,"RXJ0740.9+5526"," ", ,115.24249999999998,55.427499999999995,0.034, ,"x  ",1000,1.298,0.309,296, ,"M95","UGC3957","NAME UGC 3957 group"
39, ,"RXJ0751.3+5012","a(S)",+,117.82374999999999,50.179444444444435,0.0218, ,"x  ",1000,1.265,0.339,113, ,"M95","UGC4051","1RXS J075120.8+501316"
40, ,"RXJ0751.3+5012","b(N:E)",+,117.83791666666664,50.23611111111111,0.0236, ,"/  ",1000,1.268,0.339,265,+,"M95","UGC4052","1RXS J075120.8+501316"
41, ,"RXJ0751.3+5012","c(N:W)",+,117.82833333333332,50.23527777777777,0.0228, ,"x  ",1000,1.268,0.339,265,+,"M95"," ","1RXS J075120.8+501316"
42, ,"A602","a(NW)",+,118.31874999999998,29.401666666666664,0.0601, ,"x  ",1000,1.078,0.29,267, ,"D96"," ","ACO 602"
43, ,"A602","b(SE)",+,118.35999999999999,29.359722222222217,0.06, ,"x  ",1000,1.048,0.29,267, ,"D96"," ","ACO 602"
44, ,"RXJ0819.6+6336"," ", ,124.85708333333332,63.624444444444435,0.1186, ,"x  ",1000,1.371,0.272,305, ,"M95"," ","1RXS J081926.6+633741"
45, ,"A646"," ", ,125.53999999999998,47.09833333333333,0.1268, ,"/  ",1000,1.218,0.269,290, ,"D96"," ","ACO 646"
46, ,"Z1665"," ", ,125.84041666666666,4.372777777777777,0.0311, ,"N  ",1000,1.1,0.182,351, ,"D96","IC 505","ZwCl 0820+0436"
47, ,"A655"," ", ,126.37041666666664,47.13361111111111,0.129, ,"x  ",1000,1.153,0.266,300, ,"M95"," ","ACO 655"
48, ,"A667"," ", ,127.02416666666664,44.76749999999999,0.145, ,"x  ",,,,, ,"C95"," ","ACO 667"
49, ,"A671"," ",+,127.13124999999998,30.43166666666666,0.051, ,"N  ",1000,1.293,0.262,66, ,"M95","IC 2378","ACO 671"
50, ,"A665"," ",+,127.73874999999998,65.84222222222222,0.1824, ,"x  ",1000,1.385,0.282,310, ,"M95"," ","ACO 665"
51, ,"A689"," ",+,129.3525,14.972777777777775,0.2793, ,"x  ",,,,, ,"C95"," ","ACO 689"
52, ,"A697"," ", ,130.73958333333331,36.36694444444444,0.282, ,"x  ",,,,, ,"C95"," ","ACO 697"
53, ,"A750"," ",+,137.30249999999998,10.974722222222221,0.177,),"N  ",1000,1.184,0.253,66, ,"M95"," ","ACO 750"
54, ,"A763"," ",+,138.1470833333333,16.000833333333333,0.0892, ,"x  ",1000,1.08,0.233,225, ,"D96"," ","ACO 763"
55, ,"A757"," ", ,138.28249999999997,47.70888888888888,0.052, ,"x  ",1000,1.058,0.109,175, ,"D96"," ","ACO 757"
56, ,"A773","a(S)",+,139.47249999999997,51.72749999999999,0.216, ,"x  ",,,,, ,"C95"," ","ACO 773"
57, ,"A773","b(N)",+,139.47291666666663,51.73416666666666,0.224, ,"x  ",,,,, ,"C95"," ","ACO 773"
58, ,"A795"," ", ,141.0220833333333,14.172777777777776,0.1355, ,"/  ",1000,1.042,0.234,210, ,"D96"," ","ACO 795"
59, ,"Z2701"," ", ,148.20499999999998,51.88499999999999,0.215, ,"/  ",,,,, ,"C95"," ","ZwCl 0946+5207"
60, ,"Z2844"," ", ,150.65249999999997,32.70722222222222,0.0502, ,"x  ",1000,1.138,0.101,270, ,"D96"," ","ZwCl 0959+3257"
61, ,"A961"," ", ,154.0958333333333,33.6386111111111,0.124, ,"x  ",1000,1.19,0.113,90, ,"M98"," ","ACO 961"
62, ,"A963"," ", ,154.265,39.04749999999999,0.2059, ,"x  ",1000,1.038,0.093,232, ,"D96"," ","ACO 963"
63, ,"A980"," ", ,155.6183333333333,50.10583333333333,0.158, ,"[x]",1000,1.144,0.07,128, ,"M95"," ","ACO 980"
64, ,"Z3146"," ", ,155.915,4.1866666666666665,0.2906, ,"/  ",,,,, ,"A92"," ","ZwCl 1021+0426"
65, ,"A990"," ", ,155.91583333333332,49.144166666666656,0.142, ,"x  ",,,,,+,"C95"," ","ACO 990"
66, ,"Z3179"," ",+,156.49166666666665,12.685833333333331,0.1432, ,"/  ",,,,, ,"A92"," ","RX J102555+12411"
67, ,"A1033"," ", ,157.9345833333333,35.041666666666664,0.1259, ,"x  ",,,,, ,"A92"," ","ACO 1033"
68, ,"A1068"," ", ,160.18499999999997,39.953333333333326,0.1386, ,"/  ",,,,, ,"A92"," ","ACO 1068"
69, ,"A1132"," ", ,164.59791666666663,56.79527777777777,0.1365, ,"x  ",1000,1.141,0.042,166, ,"M95"," ","ACO 1132"
70, ,"A1177"," ", ,167.43499999999997,21.75944444444444,0.0323, ,"x  ",1000,1.008,0.077,113, ,"M95","NGC 3551","ACO 1177"
71, ,"A1185","a(N)",+,167.6595833333333,28.767499999999995,0.0348, ,"x  ",1000,1.005,0.115,45, ,"M95","NGC 3550","ACO 1185"
72, ,"A1185","b(S,NW)",+,167.67874999999998,28.693333333333328,0.0331, ,"x  ",1000,1.027,0.115,332,+,"M95","NGC 3552","ACO 1185"
73, ,"A1185","c(S,SE)",+,167.69958333333332,28.660277777777775,0.0288, ,"x  ",1000,1.027,0.115,332,+,"M95","NGC 3554","ACO 1185"
74, ,"A1190"," ",+,167.93166666666664,40.820833333333326,0.0772, ,"x  ",1000,1.693,0.112,260, ,"M95"," ","ACO 1190"
75, ,"A1201"," ",+,168.22666666666663,13.43611111111111,0.1679, ,"[x]",1000,1.04,0.107,10, ,"D96"," ","ACO 1201"
76, ,"A1204"," ",+,168.3345833333333,17.59472222222222,0.1706, ,"/  ",,,,, ,"A92"," ","ACO 1204"
77, ,"A1246"," ", ,170.99499999999998,21.479999999999997,0.1904, ,"x  ",,,,, ,"A92"," ","ACO 1246"
78, ,"A1302"," ", ,173.3108333333333,66.37944444444443,0.1148, ,"x  ",1000,1.264,0.071,5, ,"D96"," ","ACO 1302"
79, ,"A1314"," ", ,173.70499999999998,49.07805555555555,0.0337, ,"x  ",1000,1.095,0.112,144, ,"M95","IC 712","ACO 1314"
80, ,"A1361"," ",+,175.9145833333333,46.356111111111105,0.1167, ,"/  ",,,,, ,"A92"," ","ACO 1361"
81, ,"A1366"," ", ,176.15291666666664,67.40555555555555,0.1155, ,"x  ",1000,1.281,0.09,0, ,"M95"," ","ACO 1366"
82, ,"A1413"," ",+,178.82416666666663,23.40555555555555,0.1427, ,"x  ",1000,1.005,0.146,180, ,"M95"," ","ACO 1413"
83, ,"A1423"," ", ,179.32166666666663,33.61138888888888,0.213, ,"x  ",,,,,+,"C95"," ","ACO 1423"
84, ,"A1437","a(N)",+,180.10541666666663,3.347222222222222,0.1336, ,"x  ",1000,1.112,0.122,10, ,"M95"," ","ACO 1437"
85, ,"A1437","b(S)",+,180.10541666666663,3.347222222222222,0.1315, ,"x  ",1000,1.112,0.122,10, ,"M95"," ","ACO 1437"
86, ,"Z4803"," ",+,181.11166666666665,1.895833333333333,0.0194, ,"x  ",1000,1.166,0.125,210, ,"M95","NGC 4073","ZwCl 1201+0205"
87, ,"RXJ1205.1+3920"," ", ,181.29249999999996,39.34694444444444,0.037, ,"x  ",,,,, ,"C95"," ","1RXS J120511.7+392043"
88, ,"RXJ1206.5+2810"," ",+,181.66166666666663,28.17416666666666,0.0281, ,"/  ",1000,1.009,0.113,275,+,"D96","NGC 4104","NAME NGC 4104 GROUP"
89, ,"Z4905"," ",+,182.56999999999996,5.386388888888888,0.0766, ,"N  ",1000,1.108,0.099,20, ,"M95"," ","ZwCl 1207+0542"
90, ,"Z5029"," ",+,184.42083333333332,3.6563888888888885,0.0767, ,"x  ",1000,1.11,0.115,190, ,"M95"," ","[YSS2008] 13"
91, ,"RXJ1223.0+1037"," ",+,185.77749999999997,10.621388888888887,0.0259, ,"/  ",1000,1.625,0.149,300, ,"D96","NGC 4325","NGC 4325"
92, ,"A1553","a(NW)",+,187.68041666666664,10.578888888888887,0.1634, ,"[x]",1000,1.272,0.133,303, ,"D96","MCG+02-32-109","ACO 1553"
