recno,ACO,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,NF_3,Obs_3,_RA_icrs,_DE_icrs
1356,4068,359.29999999999995,-39.74999999999999,"F348",74,13,"RI ","III",45, ,14.8,?,15.3, ,16.7, ,"D",90,177,340.71,-73.64,, ,0,5,16.9,1,C,, ,, ,359.9422144444444,-39.47153583333333
1336,4048,357.04999999999995,-38.699999999999996,"F348",-19,70,"R  ","II?",85, ,16.7, ,17.6, ,18.5, ," ",183,234,347.47,-73.01,, ,2,6,17.3,1,C,, ,, ,357.7008580555555,-38.42182361111111
1344,4056,358.34999999999997,-37.56666666666666,"F348",35,131,"RI?","II-III:",43, ,17.3, ,17.6, ,18.5, ,"BD",129,295,348.5,-74.51,, ,0,6,17.3,2,C,, ,, ,358.9956272222222,-37.28827388888888
1346,4058,358.49999999999994,-36.89999999999999,"F349",-66,-101,"IR:","III",55,:,17.5, ,17.4,:,18.4, ,"B",230,63,350.28,-75.0,, ,1,6,17.3,2,C,1,O,, ,359.14496555555553,-36.62159222222222
1362,4074,359.54999999999995,-36.68333333333333,"F349",-21,-87,"RI ","III",60, ,15.7, ,16.3,?,17.1, ,"B",185,77,348.99,-75.81,, ,1,5,17.2,1,C,, ,, ,0.19115555555555552,-36.404867499999995
38,2750,3.3749999999999996,-37.416666666666664,"F350",-115,-129,"I  ","II",69,:,16.7, ,17.3,:,17.8, ," ",279,35,337.5,-77.5,, ,1,5,17.2,2,C,2,O,, ,4.00204861111111,-37.138775277777775
43,2755,3.7499999999999996,-35.46666666666666,"F350",-100,-25,"RI ","III",120,*,15.7,:,16.1,:,16.7,:," ",264,139,342.82,-79.16,, ,2,5,16.9,2,C,, ,, ,4.376698333333333,-35.18890083333333
37,2749,3.3749999999999996,-35.23333333333333,"F350",-118,-14,"I  ","III",109, ,16.0, ,16.5, ,17.5, ," ",282,150,344.84,-79.11,, ,2,5,17.2,2,C,, ,, ,4.003094444444444,-34.95544472222222
18,2730,1.8499999999999996,-35.96666666666666,"F349",77,-48,"R  ","II",79, ,15.6, ,16.7, ,17.4, ,"BO",87,116,346.3,-77.7,0.114, ,1,5,17.2,1,C,, ,, ,2.4830861111111107,-35.68839944444444
5,2717,0.175,-36.23333333333333,"F349",4,-62,"R  ","I-II",52, ,13.6,?,14.5, ,15.4, ,"BO",160,102,349.21,-76.48,0.0498, ,1,3,15.6,1,C,, ,, ,0.8139363888888888,-35.954877499999995
9,2721,0.8999999999999999,-34.99999999999999,"F349",34,3,"R  ","II",192, ,15.2,?,16.3, ,16.8, ,"BO",130,167,352.11,-77.69,0.114, ,3,5,17.0,1,C,, ,, ,1.5365630555555554,-34.72159805555555
21,2733,2.175,-34.71666666666666,"F349",91,20,"I: ","III",74,*,17.6,:,17.8,:,18.6, ," ",73,184,350.2,-78.7,, ,1,6,17.3,2,C,, ,, ,2.8073427777777775,-34.43846527777777
1327,4039,356.4,-36.55,"F408",102,-83,"R: ","II:",63, ,17.5,:,18.0, ,19.0, ,"B",62,81,354.74,-73.77,, ,1,6,17.4,2,C,, ,, ,357.05242222222216,-36.271988611111105
1323,4035,356.025,-33.883333333333326,"F408",89,59,"I  ","II-III?",83, ,16.7,?,17.6, ,18.9, ," ",75,223,4.09,-74.63,, ,2,6,17.3,1,C,, ,, ,356.67753138888884,-33.60543527777777
3,2715,0.049999999999999996,-34.949999999999996,"F349",-2,5,"RI ","III",112, ,16.0, ,16.3, ,16.9, ," ",166,169,354.08,-77.13,, ,2,5,17.1,1,C,, ,, ,0.6894388888888888,-34.671541111111104
1347,4059,358.525,-34.949999999999996,"F349",-64,3,"R  ","I",66, ,12.0,?,14.4, ,15.3, ," ",228,167,356.84,-76.06,0.0456, ,1,3,15.5,1,C,, ,, ,359.16958527777774,-34.67159194444444
12,2724,1.1749999999999998,-32.133333333333326,"F409",48,-113,"RI?","I-II",47, ,17.2,:,18.4, ,19.3, ," ",116,51,4.11,-79.29,, ,0,6,17.4,1,O,1,C,, ,1.8111533333333332,-31.854966666666662
1358,4070,359.42499999999995,-30.649999999999995,"F409",-30,-33,"I  ","II",52, ,16.8, ,17.5, ,18.0, ,"B",194,131,13.79,-78.33,, ,1,6,17.3,1,O,, ,, ,0.06641638888888889,-30.371543888888883
29,2741,2.7999999999999994,-32.74999999999999,"F349",120,123,"RI:","III",59, ,16.4, ,16.8, ,18.3, ," ",44,287,357.51,-80.23,, ,1,6,17.3,2,C,1,O,, ,3.4310013888888884,-32.47194944444444
54,2766,5.049999999999999,-32.36666666666666,"F350",-47,141,"I  ","II-III:",58, ,18.0, ,18.5, ,19.0, ," ",211,305,352.75,-82.03,, ,1,6,17.4,2,C,, ,, ,5.67427611111111,-32.08942305555555
82,2794,8.524999999999999,-31.299999999999997,"F410",124,-73,"I  ","II-III",57, ,17.5,:,17.7,:,18.6, ," ",40,91,341.89,-84.93,, ,1,6,17.3,1,C,, ,, ,9.139820277777776,-31.02484083333333
92,2804,9.299999999999999,-29.18333333333333,"F411",-106,45,"IR ","I-II",56,:,16.0, ,16.1, ,17.3, ,"B",270,209,357.85,-86.85,, ,1,5,17.2,1,O,, ,, ,9.914864444444444,-28.908780277777772
89,2801,9.024999999999999,-29.349999999999994,"F411",-119,36,"IR ","I",74, ,15.6, ,16.7, ,18.1, ,"B",283,200,357.75,-86.56,, ,1,6,17.3,1,O,, ,, ,9.640424444444443,-29.075227222222217
66,2778,6.5249999999999995,-30.516666666666662,"F410",33,-24,"I  ","III",51, ,14.8, ,15.5, ,16.8, ,"B",131,140,359.76,-84.1,, ,1,5,17.0,1,C,, ,, ,7.146250555555555,-30.240186111111107
72,2784,7.074999999999999,-29.71666666666666,"F410",58,20,"I  ","II-III:",53, ,17.4, ,17.6, ,18.7, ," ",106,184,4.78,-84.9,, ,1,6,17.3,1,C,, ,, ,7.695361944444444,-29.440517777777774
68,2780,6.699999999999999,-29.66666666666666,"F410",40,20,"I  ","III",54, ,15.5, ,15.7, ,17.1, ,"B",124,184,6.77,-84.62,, ,1,5,17.2,1,C,, ,, ,7.321426666666666,-29.390289722222217
86,2798,8.774999999999999,-28.816666666666663,"F411",-131,65,"RI:","I-II",58, ,16.1, ,16.0, ,17.3, ,"B",295,229,7.39,-86.62,0.1126, ,1,5,17.2,1,O,1,C,, ,9.391628055555554,-28.54170055555555
39,2751,3.4249999999999994,-31.66666666666666,"F410",-110,-87,"I  ","III",68, ,15.7,?,16.7,?,17.6,:,"B",274,77,1.82,-81.22,, ,1,5,17.2,1,C,1,O,, ,4.054540833333332,-31.388798611111106
47,2759,3.9999999999999996,-30.949999999999996,"F410",-84,-50,"I  ","III",47, ,15.7, ,15.8, ,17.1, ," ",248,114,4.8,-81.97,, ,0,5,17.2,1,C,, ,, ,4.6281897222222215,-30.672328888888885
32,2744,2.9499999999999997,-30.66666666666666,"F409",131,-35,"R  ","III",137,:,18.9, ,19.3, ,19.5, ," ",33,129,8.91,-81.24,0.308, ,3,6,17.4,1,O,1,C,, ,3.581329166666666,-30.38865944444444
35,2747,3.1499999999999995,-29.649999999999995,"F410",-124,18,"IR:","II-III",56,:,18.5, ,18.4, ,19.1,:," ",288,182,15.15,-81.7,, ,1,6,17.4,1,C,1,O,, ,3.7811552777777773,-29.37205111111111
22,2734,2.1999999999999997,-29.149999999999995,"F409",99,47,"R  ","III",58, ,13.9, ,15.1,:,16.1, ," ",65,211,19.47,-80.98,, ,1,4,16.3,1,O,1,C,, ,2.8339024999999998,-28.871811388888887
76,2788,7.424999999999999,-27.783333333333328,"F410",76,123,"I  ","III",41, ,17.7,:,18.0,:,19.3, ," ",88,287,26.77,-85.71,, ,0,6,17.4,1,C,, ,, ,8.046044444444444,-27.507411111111107
1300,4012,352.275,-34.099999999999994,"F408",-78,49,"I  ","II-III",35, ,17.7, ,18.4, ,19.2, ," ",242,213,6.74,-71.61,, ,0,6,17.4,1,C,, ,, ,352.93983,-33.823852499999994
1330,4042,356.54999999999995,-32.05,"F471",-2,-106,"R  ","II",35, ,18.7, ,19.0, ,19.6, ," ",166,58,10.38,-75.61,, ,0,6,17.4,1,C,, ,, ,357.20014472222215,-31.771953888888884
1331,4043,356.57499999999993,-31.566666666666663,"F409",-160,-85,"I  ","I-II",53, ,17.2, ,18.0, ,19.1, ,"B",324,79,12.25,-75.75,, ,1,6,17.4,1,O,, ,, ,357.22489388888886,-31.28861444444444
1329,4041,356.525,-29.066666666666663,"F409",-167,50,"R  ","I",72, ,17.2, ,18.9, ,19.0, ," ",331,214,22.45,-76.06,, ,1,6,17.3,1,O,, ,, ,357.1741491666666,-28.78863111111111
1337,4049,357.24999999999994,-28.649999999999995,"F471",31,77,"R  ","III",39, ,12.5, ,13.8, ,14.8,:,"d",133,241,24.11,-76.71,0.0283, ,0,3,15.0,1,C,1,O,, ,357.8970944444444,-28.37179361111111
1325,4037,356.15,-28.599999999999994,"F471",-20,79,"I  ","III",118, ,17.9, ,18.0, ,18.7, ," ",184,243,24.42,-75.74,, ,2,6,17.3,1,C,, ,, ,356.7999727777777,-28.322071111111107
1326,4038,356.275,-28.416666666666664,"F471",-16,89,"RI?","III",117, ,12.6, ,13.4, ,14.0, ,"BKO",180,253,25.16,-75.86,0.0283, ,2,2,14.2,1,C,1,O,, ,356.92457611111104,-28.138701388888887
1297,4009,351.97499999999997,-29.549999999999997,"F470",54,25,"R: ","I",36, ,16.7, ,17.3, ,17.6, ,"B",110,189,21.33,-72.07,, ,0,5,17.2,1,O,, ,, ,352.63671472222217,-29.27405055555555
1342,4054,358.15,-28.816666666666663,"F471",74,67,"RI ","III",73,:,17.0, ,17.3, ,18.2,:,"B",90,231,23.21,-77.49,, ,1,5,17.2,1,C,1,O,, ,358.79474972222215,-28.53830944444444
1359,4071,359.44999999999993,-28.38333333333333,"F409",-30,89,"RI:","III",115, ,18.7, ,18.9, ,19.6, ," ",194,253,25.06,-78.65,, ,2,6,17.4,1,O,1,C,, ,0.09128638888888888,-28.10487972222222
1351,4063,358.92499999999995,-28.016666666666662,"F409",-55,109,"IR ","III",61, ,17.9,:,18.3, ,18.9, ," ",219,273,26.92,-78.19,, ,1,6,17.3,1,O,1,C,, ,359.5676258333333,-27.73823555555555
14,2726,1.1999999999999997,-28.399999999999995,"F409",53,87,"RI ","I",47, ,14.5, ,16.8, ,18.0, ," ",111,251,24.59,-80.19,, ,0,6,17.3,1,O,, ,, ,1.8367188888888886,-28.12164166666666
4,2716,0.07499999999999998,-27.449999999999996,"F472",2,-128,"IR ","I-II",44,:,14.2,:,15.3, ,16.1, ,"s",162,36,29.93,-79.2,, ,0,4,16.3,2,O,, ,, ,0.7146955555555554,-27.17155194444444
1341,4053,358.04999999999995,-27.949999999999996,"F471",68,113,"R  ","III",64,?,15.0,:,15.6, ,16.6, ,"B",96,277,27.21,-77.42,, ,1,5,16.8,1,C,3,O,, ,358.69486111111104,-27.67165722222222
