recno,S,ACOS,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,_RA_icrs,_DE_icrs
1172,S,1172,359.69999999999993,-39.05,"F293",-15,55,"RI ","I",8, ,13.8, ,15.4, ,16.1, ," ",179,219,341.73,-74.35,0.05, ,0,4,16.3,1,O,, ,0.34061027777777775,-38.77153055555555
1174,S,1174,359.82499999999993,-37.26666666666666,"F293",-10,151,"R: ","I",-5, ,17.6, ,19.3, ,19.4, ," ",174,315,346.59,-75.62,, ,0,6,17.4,1,O,, ,0.4651552777777777,-36.98820027777777
1164,S,1164,358.74999999999994,-37.89999999999999,"F293",-55,118,"IR ","III",14, ,14.9, ,15.1, ,16.4, ,"D",219,282,346.78,-74.56,, ,0,5,16.6,1,O,1,C,359.3941836111111,-37.62156861111111
1170,S,1170,359.62499999999994,-37.11666666666666,"F293",-18,159,"IR ","I-II",26, ,16.1, ,17.6, ,17.7, ," ",182,323,347.46,-75.59,, ,0,5,17.2,1,O,, ,0.26588888888888884,-36.838199722222214
17,S,17,2.7999999999999994,-38.03333333333333,"F293",116,107,"IR ","II",-23, ,15.6, ,15.9, ,18.0, ,"BD",48,271,337.33,-76.74,, ,0,6,17.3,1,O,, ,3.4289102777777773,-37.75527583333333
12,S,12,1.6999999999999997,-35.633333333333326,"F349",71,-29,"IR ","II-III?",3, ,13.6,:,14.0,:,15.1, ,"BO",93,135,347.87,-77.82,, ,0,3,15.3,1,C,, ,2.3336974999999995,-35.355039999999995
1150,S,1150,356.29999999999995,-35.86666666666666,"F408",98,-46,"R  ","I-II",95,:,17.9,:,18.8,:,19.8,:," ",66,118,357.04,-74.03,, ,2,6,17.4,2,C,, ,356.9524808333333,-35.58868416666666
1157,S,1157,357.32499999999993,-34.699999999999996,"F349",-124,16,"RI ","II:",19, ,12.8, ,13.2,:,14.7, ,"B",288,180,359.57,-75.3,0.0456, ,0,3,14.9,2,C,, ,357.97355916666663,-34.421770555555554
1161,S,1161,358.24999999999994,-33.93333333333333,"F349",-81,61,"I  ","III",17, ,15.5, ,15.7, ,16.3, ,"B",245,225,1.07,-76.32,, ,0,5,16.5,1,C,, ,358.89533277777775,-33.65495666666666
41,S,41,5.749999999999999,-33.3,"F350",-14,91,"RI ","II",26, ,13.6,?,14.4, ,15.3, ,"O",178,255,344.96,-81.86,0.0498, ,0,3,15.5,1,C,, ,6.371469166666666,-33.02309305555555
