recno,ABELL,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,_RA_icrs,_DE_icrs
1,2708,0.9749999999999999,-17.166666666666664,"F538",49,150,"RI?","II",58, ,16.2,:,16.8, ,17.9, ," ",115,314,75.17,-75.4,, ,1,5,17.2,1,C,1,O,1.6137574999999997,-16.888297777777776
2,2712,1.1249999999999998,-18.38333333333333,"F538",55,86,"IR ","I",83,:,17.4, ,17.8, ,18.5,:," ",109,250,72.05,-76.36,, ,2,6,17.3,1,O,1,C,1.7633702777777776,-18.104979999999998
3,2,1.4249999999999998,-19.93333333333333,"F538",70,3,"R  ","I:",76,:,16.0, ,17.0, ,17.8, ," ",94,167,67.71,-77.6,, ,1,5,17.2,1,O,1,C,2.0626338888888887,-19.65501833333333
4,13,2.7749999999999995,-19.78333333333333,"F539",-127,14,"R  ","III",96, ,15.4, ,15.6, ,16.3, ," ",291,178,72.27,-78.46,, ,2,5,16.5,2,O,1,C,3.410319166666666,-19.505294999999997
5,14,3.1499999999999995,-24.166666666666664,"F473",-118,46,"RI:","II-III",29, ,12.7, ,14.3,:,15.0,:," ",282,210,52.51,-81.19,0.064, ,0,3,15.2,1,C,1,O,3.783175555555555,-23.88872583333333
6,15,3.1499999999999995,-26.316666666666663,"F473",-114,-71,"R  ","III",52, ,15.9, ,16.6, ,17.1, ," ",278,93,38.53,-81.81,0.121, ,1,5,17.2,1,C,, ,3.7824061111111105,-26.038722499999995
7,20,4.3,-22.93333333333333,"F473",-63,112,"I  ","II",66,:,16.9,?,17.3,?,18.8,:," ",227,276,63.1,-81.53,, ,1,6,17.4,1,C,1,O,4.931263055555555,-22.655787499999995
8,22,4.499999999999999,-25.999999999999996,"F473",-49,-52,"R  ","I-II",192, ,16.2, ,17.6, ,18.0, ," ",213,112,42.68,-82.94,0.1432, ,3,6,17.3,1,C,, ,5.12935111111111,-25.722529166666664
9,27,5.599999999999999,-20.999999999999996,"F539",15,-52,"R  ","II",46, ,15.0, ,15.1, ,16.5, ," ",149,112,78.13,-81.19,, ,0,5,16.7,1,O,, ,6.229742222222221,-20.723036388888886
10,33,6.174999999999999,-19.78333333333333,"F539",45,13,"R  ","III",139, ,18.4, ,18.6, ,19.4, ," ",119,177,85.58,-80.57,, ,3,6,17.4,1,O,, ,6.804441944444443,-19.50667333333333
11,35,6.224999999999999,-21.83333333333333,"F539",46,-96,"R  ","III:",146, ,17.3, ,17.9, ,19.0,:," ",118,68,77.18,-82.19,, ,3,6,17.4,1,O,1,C,6.85306111111111,-21.55669722222222
12,42,6.5249999999999995,-23.916666666666664,"F473",47,60,"R  ","II",141, ,16.0,?,16.7, ,17.8, ," ",117,224,65.76,-83.78,0.1087, ,3,5,17.2,1,C,, ,7.151069166666666,-23.640196666666665
13,47,6.999999999999999,-24.449999999999996,"F473",71,30,"R  ","II-III",29, ,17.0,?,17.5, ,18.1, ," ",93,194,63.83,-84.43,, ,0,6,17.3,1,C,, ,7.6246649999999985,-24.17381333333333
14,50,7.199999999999999,-22.499999999999996,"F473",81,135,"I  ","II-III:",77, ,15.9,:,17.0, ,17.8, ," ",83,299,78.86,-83.3,, ,1,5,17.2,2,C,1,O,7.825697777777776,-22.223941666666665
15,51,7.299999999999999,-23.916666666666664,"F473",85,59,"I  ","II-III",34, ,15.3, ,16.0, ,16.9, ," ",79,223,69.89,-84.34,, ,0,5,17.1,1,C,, ,7.9244233333333325,-23.640669999999997
16,61,8.075,-23.449999999999996,"F473",125,84,"I  ","II-III",67, ,17.5, ,17.8, ,18.7, ," ",39,248,78.42,-84.54,, ,1,6,17.3,2,C,, ,8.69817361111111,-23.174527499999996
17,74,9.149999999999999,-22.58333333333333,"F474",-93,133,"I  ","II-III",50, ,14.4, ,15.0, ,15.8, ," ",257,297,92.08,-84.42,, ,1,4,15.9,2,C,, ,9.771764444444443,-22.30867194444444
18,80,9.499999999999998,-24.93333333333333,"F474",-76,3,"I  ","III",32, ,15.1, ,15.2, ,15.6, ," ",240,167,77.38,-86.51,, ,0,4,15.8,1,C,, ,10.118756111111109,-24.658951666666663
19,86,10.049999999999999,-22.066666666666663,"F540",-24,-109,"R  ","II-III",41,:,14.1,:,14.8, ,15.6, ," ",188,55,102.0,-84.31,0.061, ,0,4,15.8,2,C,, ,10.670510833333331,-21.792758055555552
20,88,10.124999999999998,-26.33333333333333,"F474",-44,-70,"I  ","III",35, ,15.3, ,15.6, ,16.8, ," ",208,94,61.89,-87.82,0.1086, ,0,5,17.0,1,C,, ,10.740864444444442,-26.05948222222222
21,93,10.424999999999999,-18.816666666666663,"F540",-6,64,"I  ","II",27, ,14.5, ,15.5, ,16.1, ," ",170,228,111.57,-81.25,, ,0,4,16.3,1,C,, ,11.04813222222222,-18.543097777777774
22,97,10.825,-23.466666666666665,"F474",-11,83,"R  ","II",72, ,16.8, ,17.6, ,18.0, ," ",175,247,104.58,-85.86,, ,1,6,17.3,1,C,, ,11.442480277777776,-23.193456944444442
23,99,10.874999999999998,-17.666666666666664,"F540",17,125,"I? ","II-III:",28, ,15.4,?,15.9, ,17.7, ," ",147,289,115.3,-80.18,, ,0,5,17.2,1,C,, ,11.498604999999998,-17.393515555555553
24,107,11.974999999999998,-19.549999999999997,"F540",72,24,"R  ","II-III",34, ,15.6,?,15.9, ,17.1, ," ",92,188,121.11,-82.15,, ,0,5,17.2,1,C,, ,12.594787499999999,-19.27793111111111
25,114,12.874999999999998,-21.999999999999996,"F540",111,-107,"I  ","II",30, ,14.4, ,15.3, ,15.9, ," ",53,57,129.14,-84.57,0.0566, ,0,4,16.0,2,C,1,O,13.490184999999999,-21.728888888888886
26,118,13.249999999999998,-26.649999999999995,"F474",106,-89,"I  ","II-III",77, ,15.8,:,16.5, ,17.4, ," ",58,75,173.15,-88.84,, ,1,5,17.2,1,C,1,O,13.85810972222222,-26.37929944444444
27,122,13.749999999999998,-26.549999999999997,"F474",129,-84,"R  ","I-II",81,:,16.0, ,16.8, ,18.0, ," ",35,80,180.9,-88.42,, ,2,5,17.2,1,C,1,O,14.35707972222222,-26.279878888888884
28,127,14.399999999999999,-23.78333333333333,"F475",-106,68,"R  ","II-III",41,:,17.6, ,18.6, ,19.1, ," ",270,232,151.68,-85.9,, ,0,6,17.4,1,O,1,C,15.00971333333333,-23.51400194444444
29,133,15.074999999999998,-22.15,"F541",-38,-115,"R  ","I",60, ,14.0, ,15.4, ,16.4, ," ",202,49,149.65,-84.16,0.0604, ,1,5,16.5,2,O,, ,15.685801944444442,-21.88152305555555
30,135,15.249999999999998,-22.866666666666664,"F475",-63,116,"RI ","II:",74, ,16.6, ,18.0, ,19.0, ," ",227,280,154.58,-84.72,, ,1,6,17.4,2,O,, ,15.859379166666665,-22.59841444444444
31,140,15.524999999999999,-24.249999999999996,"F475",-49,42,"R  ","I-II",79, ,15.4, ,16.4, ,18.1, ," ",213,206,166.83,-85.69,0.152, ,1,6,17.3,1,O,, ,16.131664444444443,-23.982105555555552
32,141,15.774999999999999,-24.916666666666664,"F475",-37,7,"I  ","II-III",49, ,18.0, ,18.3, ,18.5, ," ",201,171,175.67,-85.98,0.23, ,0,6,17.3,1,O,, ,16.38005972222222,-24.649104166666664
33,144,15.974999999999998,-21.166666666666664,"F541",8,-62,"RI ","I-II",54, ,17.2, ,18.4, ,19.2, ," ",156,102,152.37,-82.9,, ,1,6,17.4,1,O,, ,16.58564611111111,-20.899384166666664
34,155,16.874999999999996,-25.149999999999995,"F475",16,-6,"I  ","II",76, ,16.1, ,17.2, ,18.4, ," ",148,158,185.57,-85.28,, ,1,6,17.3,1,O,, ,17.477287777777775,-24.88396444444444
35,177,19.4,-21.299999999999997,"F542",-83,-57,"R  ","III",55, ,17.4, ,17.7, ,18.6, ," ",247,107,171.42,-81.08,, ,1,6,17.3,1,C,, ,20.004304444444443,-21.03785222222222
36,183,19.824999999999996,-22.199999999999996,"F542",-59,-118,"I  ","III:",40, ,15.8, ,16.3,:,17.9,:," ",223,46,177.55,-81.38,, ,0,5,17.2,1,C,2,O,20.42681194444444,-21.938552499999997
37,185,19.924999999999997,-21.73333333333333,"F542",-56,-90,"IR ","II-III",64, ,15.9,?,16.7, ,17.6, ," ",220,74,175.59,-81.01,, ,1,5,17.2,1,C,, ,20.527536111111107,-21.472054722222218
38,187,20.025,-19.466666666666665,"F542",-52,30,"RI ","III",57, ,15.9, ,16.2, ,17.5, ," ",216,194,166.59,-79.34,, ,1,5,17.2,1,C,, ,20.63171194444444,-19.20556333333333
39,197,21.074999999999996,-18.43333333333333,"F542",2,88,"R  ","III",92, ,16.0, ,16.6, ,17.2, ," ",162,252,167.01,-77.91,, ,2,5,17.2,1,C,, ,21.682078055555554,-18.174048055555552
40,199,21.199999999999996,-18.03333333333333,"F542",7,107,"RI ","III",29, ,15.9, ,16.3, ,17.7, ," ",157,271,166.23,-77.52,, ,0,5,17.2,1,C,, ,21.807678888888887,-17.77427111111111
41,206,21.549999999999997,-25.916666666666664,"F476",-22,-47,"R  ","II",74, ,17.5, ,18.3, ,19.1, ," ",186,117,205.0,-81.56,, ,1,6,17.4,1,O,, ,22.140594999999998,-25.65820583333333
42,210,22.474999999999998,-26.266666666666662,"F476",21,-66,"RI ","I-II",65, ,16.4, ,17.7, ,18.7, ," ",143,98,208.26,-80.81,, ,1,6,17.3,1,O,, ,23.062771111111108,-26.009908888888884
43,214,22.999999999999996,-26.366666666666664,"F476",47,-72,"R  ","I-II",98, ,16.8,:,17.8, ,19.1, ," ",117,92,209.31,-80.36,, ,2,6,17.4,1,O,, ,23.58637972222222,-26.11090555555555
44,215,23.224999999999998,-23.73333333333333,"F476",59,69,"RI ","II",66,:,16.8, ,18.0, ,19.1, ," ",105,233,195.12,-79.45,, ,1,6,17.4,1,O,, ,23.81708944444444,-23.47801583333333
45,235,24.424999999999997,-17.68333333333333,"F543",-94,128,"R  ","III",53, ,18.6, ,19.2, ,19.5, ," ",258,292,174.67,-75.16,, ,1,6,17.4,1,O,, ,25.028797777777775,-17.430419444444443
46,238,24.649999999999995,-23.28333333333333,"F476",130,91,"R  ","II-III?",20,?,19.1, ,19.4, ,19.7, ," ",34,255,195.58,-78.07,, ,0,6,17.4,2,O,, ,25.240420555555552,-23.03085694444444
47,264,27.399999999999995,-26.03333333333333,"F477",-8,-54,"R  ","I-II",59, ,16.7, ,16.8, ,17.8, ," ",172,110,210.7,-76.41,, ,1,5,17.2,1,O,, ,27.977791388888885,-25.78676361111111
48,273,27.924999999999997,-23.83333333333333,"F477",18,64,"RI ","II-III",59, ,16.7, ,18.1, ,18.6, ," ",146,228,202.34,-75.43,, ,1,6,17.3,1,O,, ,28.507824999999997,-23.587968055555553
49,283,28.699999999999996,-22.366666666666664,"F477",55,142,"IR ","II:",80,:,16.3, ,17.9, ,18.5, ," ",109,306,197.98,-74.27,, ,2,6,17.3,2,O,, ,29.285442777777774,-22.123109722222217
50,289,29.624999999999996,-24.899999999999995,"F477",101,6,"R  ","I-II",77,:,15.5, ,17.9, ,18.4, ," ",63,170,207.82,-74.22,, ,1,6,17.3,2,O,, ,30.201541666666664,-24.658639166666664
51,297,29.949999999999996,-25.849999999999998,"F477",116,-45,"RI:","II",93, ,17.5, ,18.3, ,18.3, ," ",48,119,211.45,-74.11,, ,2,6,17.3,2,O,, ,30.523070277777773,-25.609424999999998
52,302,30.799999999999997,-24.999999999999996,"F478",-109,0,"R  ","I",106, ,17.5, ,18.6, ,19.0, ," ",273,164,209.0,-73.2,, ,2,6,17.3,2,O,, ,31.373962222222218,-24.76153361111111
53,327,32.65,-26.38333333333333,"F478",-19,-73,"RI ","I-II",68, ,16.0, ,17.5, ,17.8, ," ",183,91,214.5,-71.8,, ,1,5,17.2,1,O,, ,33.21593194444444,-26.149619999999995
54,325,32.724999999999994,-25.53333333333333,"F478",-16,-27,"R  ","I?",149,:,17.5,:,17.6,:,18.6, ," ",180,137,211.86,-71.6,, ,3,6,17.3,1,O,, ,33.29355611111111,-25.299823055555553
55,343,34.175,-22.099999999999998,"F544",130,-113,"RI:","II-III",65, ,16.9, ,18.0, ,19.0, ," ",34,51,202.92,-69.43,, ,1,6,17.4,3,O,, ,34.752021111111105,-21.870418888888885
56,341,34.199999999999996,-17.083333333333332,"F544",137,156,"I  ","II-III",58, ,16.2, ,17.1, ,18.4, ," ",27,320,190.62,-67.27,, ,1,6,17.3,1,O,, ,34.79251555555555,-16.853849444444442
57,353,36.24999999999999,-22.316666666666663,"F545",-28,-124,"R  ","II",73, ,16.8, ,18.1, ,18.7, ," ",192,40,205.17,-67.68,, ,1,6,17.3,2,O,1,C,36.82296722222222,-22.092934722222218
58,367,38.574999999999996,-19.583333333333332,"F545",90,22,"R  ","I",101, ,15.3, ,16.0, ,17.3, ," ",74,186,200.72,-64.68,, ,2,5,17.2,1,O,, ,39.15384333333333,-19.366522777777774
59,368,38.8,-26.71666666666666,"F479",12,-92,"R  ","II?",85, ,17.9, ,18.6, ,19.2, ," ",152,72,217.51,-66.39,, ,2,6,17.4,1,C,, ,39.35270277777777,-26.500494444444442
60,380,40.574999999999996,-26.48333333333333,"F479",96,-78,"RI:","II",82,:,16.0,:,16.5, ,17.2, ," ",68,86,217.49,-64.79,, ,2,5,17.2,1,C,1,O,41.12530583333333,-26.272697777777775
61,385,41.37499999999999,-22.099999999999998,"F546",-34,-111,"I  ","III",25, ,17.5, ,17.8, ,18.5, ," ",198,53,208.13,-63.09,, ,0,6,17.3,2,C,, ,41.940864166666664,-21.89195833333333
