gz_id,gz_ra,gz_dec,gz_z
1473814294389876736,173.2467,55.92798,0.052616313
1473815668779411456,173.43076,56.064037,0.04954193
1473815943657318400,173.11108,56.0169,0.048470464
1473816218535225344,173.14204,55.994938,0.05211342
1473817043168946176,173.10947,56.10567,0.05057623
1473817318046853120,173.19928,55.984035,0.05420965
1473817592924760064,173.12192,55.895832,0.059230797
1473818142680573952,173.229,55.905502,0.04793477
1473818417558480896,173.40105,56.008583,0.060793933
1473819242192201728,173.35526,56.116604,0.057809945
1473825564384061440,173.01349,55.934303,0.056402188
1473826389017782272,172.94563,55.90048,0.05742537
1473826938773596160,173.0639,55.905113,0.0553496
1473827213651503104,173.05226,55.99455,0.058953676
1473827488529410048,172.94797,55.828793,0.057213005
1473827763407316992,173.06187,55.948368,0.055598438
1473828038285223936,172.92798,55.927666,0.050430384
1473828588041037824,172.99734,56.084476,0.061416484
1473829137796851712,173.01096,56.022243,0.060357474
1473829412674758656,173.04312,55.95948,0.051049806
1473829687552665600,173.0495,56.04783,0.05855231
1473829962430572544,173.1034,56.04826,0.055085044
1473830237308479488,173.07803,56.07603,0.056171067
1473830512186386432,173.09666,55.96744,0.05154037
1473836284622432256,172.68806,55.94787,0.050858762
1473837109256153088,172.65494,55.933674,0.05012706
1473837659011966976,172.64426,56.040737,0.051546585
1473838208767780864,172.79092,55.84017,0.051365346
1473838758523594752,172.74889,55.87097,0.056127887
1473839033401501696,172.86536,56.07691,0.050558537
1473839308279408640,172.83582,55.8452,0.05615997
1473839858035222528,172.82547,56.136814,0.05090568
1473840407791036416,172.92393,56.062218,0.056284975
1473841232424757248,172.90036,56.126904,0.06335002
1473841782180571136,172.94427,56.28515,0.057331156
1473844530959640576,173.12653,56.218513,0.05023401
1473849203884058624,172.8312,56.196053,0.052539606
1474951743715436544,173.37256,55.992287,0.0504454
1474952018593343488,173.41313,55.943333,0.052925564
1474953118104971264,173.49963,55.99951,0.061822526
1474956416639854592,173.33034,56.18244,0.05037645
1474962463953807360,173.23747,56.060486,0.058076646
1474962738831714304,173.2506,55.871307,0.053466517
1474963013709621248,173.11852,55.996765,0.055313163
1474963563465435136,173.1045,56.15373,0.05708982
1474963838343342080,173.17361,56.11315,0.058625985
1474964662977062912,173.31712,56.005444,0.05336418
1474965762488690688,173.15215,56.23492,0.057849754
1474966037366597632,173.31142,55.89791,0.05170838
1474966312244504576,173.2094,55.999226,0.055632055
1474966587122411520,173.26051,55.82612,0.051826872
1474967136878225408,173.26846,56.174667,0.049884766
1474967411756132352,173.30638,55.97889,0.051918715
1474984179308455936,173.07507,55.96104,0.053304367
1474984729064269824,173.09479,55.97182,0.05005351
1474986378331711488,173.015,56.02615,0.057556115
1474986928087525376,172.93073,56.24148,0.04828715
1474987202965432320,172.91534,56.0485,0.050433844
1474987752721246208,173.04008,56.005035,0.05916381
1474988027599153152,172.95699,56.01581,0.05034371
1474988302477060096,173.04398,56.03595,0.059138536
1474988577354967040,172.91582,56.129864,0.056109026
1474988852232873984,173.0161,56.07521,0.05627531
1474989401988687872,172.99512,55.944996,0.05143276
1474997373447989248,172.59625,56.08468,0.058421887
1474998198081710080,172.82948,55.82914,0.05572083
1446849045942265856,208.46724,46.34115,0.06165777
1446849320820172800,208.29887,46.404896,0.05910017
1446849595698079744,208.26309,46.34406,0.06192623
1446850145453893632,208.46548,46.366215,0.063736014
1446852069599242240,208.35394,46.46148,0.061477937
1446852344477149184,208.25494,46.49558,0.062286045
1446852619355056128,208.34175,46.411537,0.05974375
1446858666669008896,208.12502,46.376396,0.062345464
1446859216424822784,208.07074,46.4623,0.064225376
1446860315936450560,207.9529,46.40185,0.062678
1446860865692264448,208.15614,46.371746,0.05886495
1446861140570171392,208.22098,46.527073,0.06386075
1446861415448078336,208.08385,46.505726,0.060965393
1446861690325985280,208.20047,46.426037,0.065093935
1446862514959706112,208.06197,46.41878,0.063954845
1446862789837613056,208.00175,46.451847,0.06676841
1446863064715520000,208.09044,46.44162,0.061103668
1446863339593426944,208.10916,46.47861,0.06665704
1650679816074061824,208.00067,46.210438,0.06528285
1650680365829875712,208.01472,46.23744,0.06314734
1650680915585689600,207.9492,46.21921,0.062286604
1650682289975224320,207.99522,46.24995,0.060285326
1650682564853131264,207.92448,46.366734,0.062473916
1650683114608945152,207.89278,46.37172,0.06338301
1650683939242665984,207.98306,46.352043,0.0616977
1650684488998479872,207.88832,46.355415,0.06432118
1650684763876386816,207.95567,46.24804,0.061471507
1650690536312432640,208.0452,46.24956,0.06112187
1650691360946153472,208.37912,46.23858,0.060402654
1650691635824060416,208.13388,46.383354,0.06261286
1650691910701967360,208.16057,46.34985,0.062267415
1650692185579874304,208.19952,46.40955,0.062677406
1650693559969409024,208.24445,46.206882,0.061028555
1650693834847315968,208.1396,46.15782,0.06347981
1650694109725222912,208.14957,46.13775,0.06430141
1650694934358943744,208.05734,46.36079,0.06197113
1144025127436969984,176.70807,55.707195,0.050346237
1144026226948597760,176.63187,55.779,0.05563467
1144026776704411648,176.66083,55.727478,0.047802698
1144027326460225536,176.67403,55.699535,0.054667633
1144027876216039424,176.67468,55.672745,0.0511429
1144028151093946368,176.59976,55.762356,0.04796966
1144028975727667200,176.68356,55.717525,0.050296873
1144029250605574144,176.53276,55.77431,0.05145275
1144029525483481088,176.62987,55.73605,0.055896804
1144029800361388032,176.65369,55.76436,0.05243935
1144035572797433856,176.80093,55.768562,0.051235463
1144036122553247744,176.88731,55.733894,0.051088504
1144036397431154688,176.8637,55.751163,0.051615804
1144036947186968576,176.85432,55.888847,0.0500455
1144037222064875520,176.86954,55.77738,0.051663037
1144037496942782464,176.83916,55.730183,0.05153557
1144037771820689408,176.79878,55.835625,0.050420854
1144038321576503296,176.88783,55.651634,0.051802557
1144038596454410240,176.80434,55.71227,0.054719456
1144038871332317184,176.71507,55.762085,0.05692984
1144039146210224128,176.83269,55.68354,0.049885735
1144039421088131072,176.80368,55.74258,0.050013106
1144039695966038016,176.75949,55.683407,0.049886625
1144039970843944960,176.86201,55.646362,0.05513422
1144040245721851904,176.77979,55.754528,0.045791082
1144040795477665792,176.78006,55.854973,0.048793476
1144041894989293568,176.73438,55.54307,0.056262452
1144046567913711616,177.15263,55.593235,0.049551558
1144046842791618560,177.06297,55.616478,0.049729113
1144047942303246336,177.16565,55.56544,0.05191224
1144048766936967168,177.2051,55.538654,0.05195205
1144050691082315776,177.00902,55.58865,0.049947113
1144057563029989376,176.91682,55.864983,0.05577418
1144058387663710208,177.14346,55.920135,0.051835727
1144058662541617152,177.0805,55.814,0.051208563
1144059212297431040,176.97539,55.890873,0.05611455
1144059762053244928,177.23924,55.97122,0.049261454
1144060861564872704,177.06264,55.765305,0.050675284
1144061411320686592,176.97275,55.77855,0.0481595
1144061686198593536,177.00325,55.76148,0.05157332
1144062510832314368,176.90726,55.717926,0.04913932
1144062785710221312,177.10661,55.77582,0.051600844
1144070757169522688,177.31927,55.967293,0.053065315
1144071581803243520,177.46529,55.710766,0.053253278
1144073231070685184,177.29138,55.699165,0.0484912
1145128486466250752,176.92427,55.733486,0.0501883
1145129036222064640,177.16814,55.815025,0.055461854
1145129860855785472,176.98418,55.771908,0.051604338
1145130135733692416,177.3108,55.70096,0.047819182
1145130685489506304,177.19997,55.764374,0.05263624
1145131510123227136,176.93124,55.714012,0.05145437
1145131785001134080,176.84943,55.73444,0.052305896
1145132059879041024,177.02834,55.714016,0.05397775
1145132334756947968,177.0625,55.710968,0.050138906
1145133159390668800,176.8812,55.744576,0.04667435
1145133434268575744,176.86375,55.64375,0.053394593
1145137832315086848,177.11905,55.61003,0.054531243
1476066918887614464,176.96182,55.989223,0.05115848
1476069392788776960,176.79178,55.853195,0.049434863
1476069942544590848,176.95055,56.018337,0.054683838
447131002062530560 ,18.679888,0.24600673,0.048647027
