wavelength(Ang),flux(rel)
3003.8,0.341
3024.3,0.329
3044.8,0.354
3065.3,0.359
3085.8,0.374
3106.3,0.375
3126.8,0.385
3147.3,0.403
3167.8,0.415
3188.3,0.423
3208.8,0.41
3229.3,0.419
3249.8,0.431
3270.3,0.386
3290.8,0.42
3311.3,0.373
3331.8,0.443
3352.3,0.486
3372.8,0.48
3393.3,0.482
3413.8,0.481
3434.3,0.472
3454.8,0.425
3475.3,0.445
3495.8,0.449
3516.3,0.458
3536.8,0.471
3557.3,0.472
3577.8,0.495
3598.4,0.514
3618.9,0.484
3639.4,0.529
3659.9,0.44
3680.4,0.443
3700.9,0.487
3721.4,0.502
3731.6,0.507
3741.9,0.56
3762.4,0.552
3782.9,0.512
3803.4,0.592
3823.9,7.153
3844.4,0.564
3864.9,0.631
3885.4,0.691
3905.9,0.739
3926.4,0.561
3946.9,0.734
3967.4,0.786
3987.9,0.656
4008.4,0.848
4028.9,0.49
4049.4,0.74
4069.9,0.491
4090.4,0.936
4110.9,1.029
4131.4,1.038
4151.9,1.012
4172.4,0.978
4193.0,0.989
4213.5,0.879
4234.0,1.014
4254.5,1.039
4275.0,1.038
4295.5,1.034
4316.0,1.051
4336.5,1.032
4357.0,1.058
4377.5,1.014
4398.0,0.989
4418.5,0.894
4439.0,0.971
4459.5,0.9
4480.0,1.103
4500.5,1.053
4521.0,1.074
4541.5,1.098
4562.0,1.107
4582.5,1.147
4603.0,1.15
4623.5,1.254
4644.0,1.144
4664.5,1.162
4685.0,1.232
4705.5,1.171
4726.0,1.197
4746.5,1.162
4767.0,1.178
4787.6,1.204
4808.1,1.17
4828.6,1.133
4849.1,1.185
4869.6,1.208
4890.1,1.201
4910.6,1.193
4931.1,1.174
4951.6,1.182
4972.1,1.768
4992.6,2.503
5013.1,1.122
5033.6,1.134
5054.1,1.117
5074.6,1.711
5095.1,1.397
5115.6,1.103
5136.1,7.698
5156.6,1.083
5177.1,1.078
5197.6,1.118
5218.1,1.07
5238.6,1.086
5259.1,1.053
5279.6,1.02
5300.1,0.971
5320.6,0.987
5341.1,1.027
5361.6,1.051
5382.2,1.08
5402.7,0.978
5423.2,1.077
5443.7,1.112
5464.2,1.014
5484.7,1.083
5505.2,1.077
5525.7,1.054
5546.2,1.032
5566.7,1.046
5587.2,1.073
5607.7,1.043
5628.2,1.044
5648.7,1.036
5669.2,1.047
5689.7,1.06
5710.2,1.04
5730.7,1.016
5751.2,1.044
5771.7,1.034
5792.2,1.038
5812.7,1.016
5833.2,1.038
5853.7,1.014
5874.2,1.075
5894.7,1.034
5915.2,1.043
5935.7,1.013
5956.2,1.038
5976.7,1.058
5997.3,1.028
6017.8,1.028
6038.3,0.957
6058.8,1.012
6079.3,1.009
6099.8,1.01
6120.3,1.018
6140.8,1.0
6161.3,0.984
6181.8,1.0
6202.3,1.01
6222.8,1.007
6243.3,0.977
6263.8,0.977
6284.3,0.937
6304.8,0.947
6325.3,0.916
6345.8,0.957
6366.3,0.952
6386.8,0.927
6407.3,0.897
6427.8,0.933
6448.3,0.943
6468.8,0.92
6489.3,0.926
6509.8,0.924
6530.3,0.92
6550.8,0.931
6571.3,0.908
6591.9,0.918
6612.4,0.914
6632.9,0.908
6653.4,0.889
6673.9,0.906
6694.4,0.901
6714.9,1.964
6735.4,3.859
6755.9,1.877
6776.4,0.9
6796.9,0.893
6817.4,0.887
6837.9,0.869
6858.4,0.886
6878.9,0.86
6899.4,0.878
6919.9,0.863
6940.4,0.873
6960.9,0.859
6981.4,0.861
