Cluster_ID,Galaxy_IDs
219233.0,[]
21435.0,"['1473814294389876736', '1473815943657318400', '1473816218535225344', '1473817043168946176', '1473817318046853120', '1473817592924760064', '1473818142680573952', '1473825564384061440', '1473826389017782272', '1473826938773596160', '1473827213651503104', '1473827488529410048', '1473827763407316992', '1473828038285223936', '1473828588041037824', '1473829137796851712', '1473829412674758656', '1473829687552665600', '1473829962430572544', '1473830237308479488', '1473830512186386432', '1473839033401501696', '1473839858035222528', '1473840407791036416', '1473841232424757248', '1473841782180571136', '1473844530959640576', '1473849203884058624', '1474962463953807360', '1474962738831714304', '1474963013709621248', '1474963563465435136', '1474963838343342080', '1474964662977062912', '1474965762488690688', '1474966312244504576', '1474967136878225408', '1474967411756132352', '1474984179308455936', '1474984729064269824', '1474986378331711488', '1474986928087525376', '1474987202965432320', '1474987752721246208', '1474988027599153152', '1474988302477060096', '1474988577354967040', '1474988852232873984', '1474989401988687872']"
24405.0,"['1446849045942265856', '1446849320820172800', '1446849595698079744', '1446850145453893632', '1446852069599242240', '1446852344477149184', '1446852619355056128', '1446858666669008896', '1446859216424822784', '1446860315936450560', '1446860865692264448', '1446861140570171392', '1446861415448078336', '1446861690325985280', '1446862514959706112', '1446862789837613056', '1446863064715520000', '1446863339593426944', '1650679816074061824', '1650680365829875712', '1650680915585689600', '1650682289975224320', '1650682564853131264', '1650683114608945152', '1650683939242665984', '1650684488998479872', '1650684763876386816', '1650690536312432640', '1650691360946153472', '1650691635824060416', '1650691910701967360', '1650692185579874304', '1650693559969409024', '1650693834847315968', '1650694109725222912', '1650694934358943744']"
114534.0,[]
28768.0,[]
11652.0,"['1144025127436969984', '1144026226948597760', '1144026776704411648', '1144027326460225536', '1144027876216039424', '1144028975727667200', '1144029525483481088', '1144029800361388032', '1144035572797433856', '1144036122553247744', '1144036397431154688', '1144036947186968576', '1144037222064875520', '1144037496942782464', '1144037771820689408', '1144038321576503296', '1144038596454410240', '1144038871332317184', '1144039146210224128', '1144039421088131072', '1144039695966038016', '1144039970843944960', '1144040245721851904', '1144040795477665792', '1144046567913711616', '1144046842791618560', '1144047942303246336', '1144048766936967168', '1144050691082315776', '1144057563029989376', '1144058387663710208', '1144058662541617152', '1144059212297431040', '1144059762053244928', '1144060861564872704', '1144061411320686592', '1144061686198593536', '1144062510832314368', '1144062785710221312', '1144073231070685184', '1145128486466250752', '1145129036222064640', '1145129860855785472', '1145130135733692416', '1145130685489506304', '1145131510123227136', '1145131785001134080', '1145132059879041024', '1145132334756947968', '1145133159390668800', '1145133434268575744', '1145137832315086848', '1476066918887614464', '1476069392788776960', '1476069942544590848']"
121627.0,"['447131002062530560 ', '447131276940437504 ', '447132651329972224 ', '447133475963693056 ', '447133750841600000 ', '447134025719506944 ', '447134300597413888 ', '447135125231134720 ', '447141722300901376 ', '447142272056715264 ', '447142546934622208 ', '447142821812529152 ', '447143096690436096 ', '447143921324156928 ', '447144471079970816 ', '447144745957877760 ', '447145570591598592 ', '447146395225319424 ', '447146670103226368 ', '447155191318341632 ', '448196703623866368 ', '448196978501773312 ', '448199452402935808 ', '448199727280842752 ', '448200277036656640 ', '448202201182005248 ', '448202750937819136 ', '448203850449446912 ', '448204125327353856 ', '448204400205260800 ', '448206049472702464 ', '448206874106423296 ', '448213471176189952 ', '448213746054096896 ', '448214020932003840 ', '448214295809910784 ', '448214845565724672 ', '448215120443631616 ', '448215395321538560 ', '448216219955259392 ', '448216769711073280 ', '448217044588980224 ', '448217319466887168 ', '448217594344794112 ', '448217869222701056 ', '448218144100608000 ', '448223916536653824 ', '448225016048281600 ', '448225290926188544 ', '448225565804095488 ', '448225840682002432 ', '448226115559909376 ', '448226390437816320 ', '448226665315723264 ', '448227764827351040 ', '448228589461071872 ', '448229139216885760 ', '448234911652931584 ', '448235461408745472 ', '448235736286652416 ', '448236560920373248 ', '448236835798280192 ', '448237110676187136 ', '448237385554094080 ', '448237935309907968 ', '448238210187814912 ', '448239309699442688 ', '448239584577349632 ', '448240409211070464 ', '448241508722698240 ', '448241783600605184 ']"
13021.0,"['1087625676527265792', '1087627600672614400', '1087628150428428288', '1087628425306335232', '1087629799695869952', '1087630349451683840', '1087636396765636608', '1087636671643543552', '1087636946521450496', '1087637221399357440', '1087637496277264384', '1087638595788892160', '1087638870666799104', '1087639970178426880', '1087640245056333824', '1087640519934240768', '1087641069690054656', '1087647391881914368', '1087647941637728256', '1087648491393542144', '1087648766271449088', '1087649041149356032', '1087649316027262976', '1087649865783076864', '1087650140660983808', '1087650415538890752', '1087650690416797696', '1087651240172611584', '1087651789928425472', '1087652064806332416', '1087652339684239360', '1087658112120285184', '1087659761387726848', '1087660036265633792', '1087660586021447680', '1087660860899354624', '1087661135777261568', '1087661410655168512', '1087664434312144896', '1087665258945865728', '1087665533823772672', '1087665808701679616', '1087666358457493504', '1087667457969121280', '1087668557480749056', '1087668832358656000', '1087672405771446272', '1087672680649353216', '1087673230405167104', '1087673780160980992', '1087674055038887936', '1087754319387715584', '1087760916457482240', '1087762290847016960', '1087768063283062784', '1087771361817946112', '1087780982544689152', '1087782082056316928', '1087782356934223872', '1087790053515618304', '1087794451562129408', '1087794726440036352', '1087795001317943296', '1088795007042742272', '1088795281920649216', '1088795556798556160', '1088795831676463104', '1088796656310183936', '1088796931188090880', '1088798580455532544', '1088800229722974208', '1088806002159020032', '1088807101670647808', '1088807376548554752', '1088808201182275584', '1088809300693903360', '1088809575571810304', '1088810675083438080', '1088811224839251968', '1088815348007856128', '1088816997275297792', '1088818096786925568', '1088818646542739456', '1088818921420646400', '1088819196298553344', '1088819471176460288', '1088819746054367232', '1088820570688088064', '1088821120443901952', '1088821945077622784', '1088822219955529728', '1088824968734599168', '1088825518490413056', '1088825793368320000', '1088826343124133888', '1088827167757854720', '1088827992391575552', '1088828542147389440', '1088828817025296384', '1088829366781110272', '1088829916536924160', '1088830191414831104', '1088831016048551936', '1088831290926458880', '1088831565804365824', '1088832665315993600', '1088833215071807488']"
121766.0,"['452780292789266432 ', '453825929655904256 ', '453826204533811200 ', '453826479411718144 ', '453826754289625088 ', '453827029167532032 ', '453827304045438976 ', '453827578923345920 ', '453827853801252864 ', '453828403557066752 ', '453828953312880640 ', '453830052824508416 ', '453830877458229248 ', '453836924772182016 ', '453837199650088960 ', '453837474527995904 ', '453837749405902848 ', '453838024283809792 ', '453838299161716736 ', '453838574039623680 ', '453838848917530624 ', '453839123795437568 ', '453839398673344512 ', '453839673551251456 ', '453839948429158400 ', '453840223307065344 ', '453840773062879232 ', '453841597696600064 ', '453841872574507008 ', '453842147452413952 ', '453848469644273664 ', '453848744522180608 ', '453849569155901440 ', '453851493301250048 ', '453851768179156992 ', '453852043057063936 ', '453852317934970880 ', '453852867690784768 ', '453853142568691712 ', '453863862807062528 ']"
16194.0,"['1617923989672323072', '1617924264550230016', '1617926738451392512', '1617928387718834176', '1617935259666507776', '1617936634056042496', '1617936908933949440', '1617937733567670272', '1617938008445577216', '1617938558201391104', '1617938833079298048', '1617939382835111936', '1617939932590925824', '1618079295689746432', '1618080670079281152', '1618080944957188096', '1618081219835095040', '1618081494713001984', '1618081769590908928', '1618082319346722816', '1618082594224629760', '1618082869102536704', '1618091940073465856', '1618092214951372800', '1618092489829279744', '1618093039585093632', '1618093589340907520', '1618094139096721408', '1620214821427374080', '1620220044107606016', '1620220593863419904', '1620221143619233792', '1620221418497140736', '1620222792886675456', '1620223342642489344', '1620224167276210176', '1620224442154117120', '1620224991909931008', '1620230764345976832', '1620231039223883776', '1620231314101790720', '1620231588979697664', '1620232138735511552', '1620233238247139328', '1620233513125046272', '1620234062880860160', '1620234337758767104', '1620235162392487936', '1620235437270394880', '1620235987026208768']"
11597.0,"['1139532521080383488', '1139533345714104320', '1139535269859452928', '1139537194004801536', '1139542966440847360', '1139543241318754304', '1139546814731544576', '1139547639365265408', '1139548463998986240', '1139548738876893184', '1139549288632707072', '1139549563510614016', '1139549838388520960', '1139550388144334848', '1139551487655962624', '1139551762533869568', '1139553136923404288', '1139553686679218176', '1139557534969915392', '1139560833504798720', '1139562207894333440', '1140632033681238016', '1140632858314958848', '1140633133192865792', '1140634782460307456', '1140635332216121344', '1140635607094028288', '1140642753919608832', '1140643028797515776', '1140643303675422720', '1140643578553329664', '1140643853431236608', '1140644128309143552', '1140644403187050496', '1140644678064957440', '1140644952942864384', '1140645502698678272', '1140645777576585216', '1140646052454492160', '1140646327332399104', '1140646602210306048', '1140653199280072704', '1140655123425421312', '1140655398303328256', '1140657047570769920', '1140657322448676864', '1140657597326583808']"
16202.0,"['1620182110956447744', '1620182660712261632', '1620183210468075520', '1620184035101796352', '1620184309979703296', '1620184584857610240', '1620184859735517184', '1620185134613424128', '1620185684369238016', '1620186509002958848', '1620192556316911616', '1620192831194818560', '1620193380950632448', '1620194205584353280', '1620194480462260224', '1620194755340167168', '1620195305095981056', '1620195579973888000', '1620195854851794944', '1620196129729701888', '1620196679485515776', '1620197229241329664', '1620197504119236608', '1620203826311096320', '1620204650944817152', '1620205200700631040', '1620205475578537984', '1620205750456444928', '1620206300212258816', '1620206575090165760', '1620207124845979648', '1620207949479700480', '1620208499235514368', '2229397871621335040', '2229398146499241984', '2229398421377148928', '2229399246010869760', '2229400345522497536', '2229400895278311424', '2229402269667846144', '2229420686487611392']"
11645.0,"['1145184286681360384', '1145186760582522880', '1145194457163917312', '1145194732041824256', '1145196931065079808', '1146266205552666624', '1146267854820108288', '1146268954331736064', '1478306899370731520', '1478317894487009280', '1478318444242823168', '1478318993998637056', '1478319268876544000', '1478319543754450944', '1478319818632357888', '1478320643266078720', '1478321193021892608', '1478321742777706496', '1478322017655613440', '1478328889603287040', '1478329164481193984', '1478329439359100928', '1478329714237007872', '1478329989114914816', '1478331088626542592', '1478331363504449536', '1478332463016077312', '1478332737893984256', '1478333837405612032', '1478340984231192576', '1478342908376541184', '1478344557643982848', '1478346206911424512']"
11663.0,"['1143955583326513152', '1143956682838140928', '1143959431617210368', '1143960806006745088', '1143961355762558976', '1143961905518372864', '1143962455274186752', '1143962730152093696', '1143963005030000640', '1143963279907907584', '1143963829663721472', '1143964104541628416', '1143964379419535360', '1143964654297442304', '1143964929175349248', '1143965478931163136', '1143966028686977024', '1143966303564883968', '1143967677954418688', '1143967952832325632', '1143968502588139520', '1143975099657906176', '1143975649413720064', '1143975924291627008', '1143977298681161728', '1143977848436975616', '1143978123314882560', '1143979497704417280', '1143979772582324224', '1143980047460231168', '1143980322338138112', '1145100998675556352', '1145102098187184128', '1145102647942998016', '1145102922820904960', '1145103197698811904', '1145103472576718848', '1145103747454625792', '1145104846966253568', '1145105671599974400', '1145105946477881344', '1145111993791834112', '1145112268669741056', '1145112543547648000', '1145113093303461888', '1145113368181368832', '1145113917937182720', '1145114192815089664', '1145114467692996608', '1145114742570903552', '1145115017448810496', '1145115567204624384', '1145116116960438272', '1145116391838345216', '1145116941594159104', '1145117216472066048', '1145124088419739648', '1145126012565088256']"
219468.0,[]
