clus_id,bcg_ra,bcg_dec,corrected_pa,sat_ra,sat_dec,theta,sat_majoraxis_angle
1_1172,119.9954,53.93859,50.7275,"[119.68401 119.70063 119.71908 119.78577 119.5784  119.74984 119.92124
 120.00752 120.13438 119.99533 119.90716 120.11831 120.02371 120.3946
 120.3322  120.28254 120.15094 120.26718 120.21512 119.92513 119.98121
 119.9767  120.07107 119.98678 120.39542 120.2506  120.19571]","[54.01293  53.984695 54.019924 53.909008 53.960472 53.97993  54.009563
 54.052574 53.97181  53.938602 54.28138  54.108875 53.94734  53.9548
 53.903717 53.995975 54.053566 54.13317  54.07968  53.945286 53.97696
 54.017    54.084587 54.05103  53.972458 54.070057 54.05489 ]","[ 67.90580149  75.11182229  63.4110555  103.47607309  84.90453804
  74.0320658   31.57252824 356.42255313 292.10811879  73.00571747
   8.58173074 337.02249656 297.69776589 273.9467893  260.0279602
 288.76479513 321.50712017 320.6385852  317.53700699  80.80405332
  12.27717772   7.98422064 343.06166158   2.5809451  278.18804247
 311.2349361  314.64544234]","[162.82169851155544, 155.61567771072106, 167.3164445016667, 127.25142690626461, 145.82296196218624, 156.69543419629508, 19.15497176390387, 54.30494687451346, 118.6193812126779, 157.72178253338467, 42.14576925552655, 73.70500343873812, 113.0297341089254, 136.7807106994388, 150.69953979944742, 121.96270486773639, 89.22037983277863, 90.08891480192057, 93.19049300735594, 149.92344667992472, 38.45032227948187, 42.74327935748158, 67.66583841853941, 48.14655490184117, 132.53945753093396, 99.4925638974604, 96.08205766476664]"
1_1224,124.5161,54.61901,30.0982,"[124.89094 124.83297 124.62928 124.44237 124.57405 124.64776 124.48677
 124.64089 124.69328 124.46489 124.43137 124.41954 124.41205 124.35891
 124.21279 124.439   124.4922  124.24029 124.44453 124.3567  124.51612
 124.38314 124.31185 124.49594 124.5684  124.60931 124.53713 124.55445
 124.7895 ]","[54.41443  54.485294 54.392597 54.521294 54.56423  54.48807  54.524826
 54.460457 54.4812   54.59349  54.593464 54.414417 54.746227 54.891872
 54.671463 54.78348  54.75381  54.970776 54.70088  54.689224 54.619026
 54.673023 54.805004 54.64192  54.747795 54.624043 54.65514  54.670044
 54.767765]","[226.76367715 233.95976118 196.184989   156.37445403 211.5066115
 210.24776866 169.76741718 204.5418156  216.71203045 130.70795376
 117.50034122 164.67934833  25.30643395  18.38870237  73.36028374
  15.15579967   5.85100694  24.32420081  26.82533386  52.71407147
 323.19944585  54.9283136   32.39037115  26.99323817 346.78877877
 275.32780027 341.38086337 336.49857065 313.27184591]","[163.33452285081046, 156.13843882354072, 13.91321099935658, 53.723745971147764, 178.59158849552514, 179.8504313362089, 40.330782818590706, 5.556384395286187, 173.38616955306335, 79.39024624081748, 92.59785878019136, 45.41885166651639, 4.791766052265775, 11.709497629172326, 136.73791626310765, 14.942400328287738, 24.24719305535953, 5.773999191563018, 3.2728661355805464, 157.38412852981514, 66.89875415421722, 155.16988640093064, 177.70782884637168, 3.1049618287813985, 43.309421227303915, 114.77039972958997, 48.71733662858264, 53.599629347704706, 76.82635408923755]"
1_12282,10.96739,24.40594,259.6035,[],[],[],[]
1_12336,12.45764,24.45055,220.7034,[],[],[],[]
1_12405,20.20141,23.52425,38.181000000000004,[],[],[],[]
1_1277,135.3756,55.65459,340.3366,"[135.15274 134.76968 135.37556 135.52538 135.55074 135.30177 135.44281
 135.50294 135.4874  135.34785 135.84901 135.93156]","[55.3761   55.536915 55.654613 55.993084 55.836475 55.616756 55.68388
 55.549744 55.441227 55.627594 55.687668 55.462605]","[155.62550618 108.96876552  40.38624659 346.04165183 331.54315394
 132.23607727 307.69430536 214.45648545 196.5108655  149.88448611
 277.06279027 238.59272411]","[4.7110938240153075, 51.36783448168592, 119.95035340993763, 174.29494816726174, 8.793446057532265, 28.100522728420458, 32.642294643332605, 125.88011455184784, 143.82573450030327, 10.452113894053838, 63.273809731046526, 101.7438758894161]"
1_14426,346.4341,19.56983,328.7173,[],[],[],[]
1_14573,354.0114,20.54587,255.1744,[],[],[],[]
1_1607,170.3602,53.74909,203.02519999999998,"[170.47868 170.49521 170.42583 170.4333  170.97215 170.16022 170.05118
 170.1268  170.37537 170.35205 170.24419 170.20895 170.17561 169.83833
 169.93283 169.85442 169.78603 169.7847  169.99423 170.08849 169.94968
 170.48546 170.4813  170.19437 170.3602  170.16936 170.33405 170.21938
 170.2387  170.43687 169.97182 170.04282 169.83157 169.83652 170.04785
 169.89886]","[53.687073 53.617702 53.791153 53.88196  53.806572 53.570904 53.642776
 53.762913 53.7307   53.746525 53.795235 53.668205 53.792408 53.540897
 53.705    53.682846 53.75878  53.712257 53.746365 54.14389  53.531696
 53.62783  53.69756  53.72096  53.749104 53.7863   53.97049  53.823326
 53.754356 53.743755 53.651833 53.646137 53.688217 53.70798  53.909798
 53.529743]","[228.50644626 211.32343346 317.32007014 342.00511787 279.03214155
 146.37362713 120.15942811  84.27971063 206.00349071 118.02688344
  56.0587184  132.09860003  68.34342772 123.94007467  99.89110481
 102.479362    88.36478486  96.17459108  90.72152204  22.05053073
 131.77217353 211.45429942 234.27585864 106.00178611   2.56289517
  71.74315958   3.98538617  48.25838292  85.80761134 263.28980568
 112.92815223 118.71810673 101.01195386  97.55829644  48.91887332
 128.72861336]","[154.5187537372301, 171.70176654021088, 65.70512986378503, 41.02008213260979, 103.99305844667884, 56.65157286701353, 82.8657718864314, 118.74548937024835, 177.02170928987164, 84.99831655950028, 146.96648159552052, 70.92659997288624, 134.68177227975883, 79.08512532818627, 103.13409519206975, 100.54583800302791, 114.66041513959466, 106.85060891846366, 112.30367796243563, 0.9746692738509921, 71.25302646534956, 171.57090058444203, 148.7493413570392, 97.0234138889634, 20.462304831940884, 131.28204041881833, 19.03981383121331, 154.76681708054656, 117.2175886550066, 119.73539432106372, 90.09704777045629, 84.30709326969263, 102.01324613634597, 105.46690356209453, 154.10632668163265, 74.29658663971003]"
1_23993,27.11495,-4.1297,312.2409,[],[],[],[]
