recno,n_Name,Name,RAJ2000,DEJ2000,z,Jmag,Kmag,KMAG,LX,Ha
1,1,"Abell 1902",215.41887499999996,37.29194444444444,0.16,14.0,12.63,-26.26,5.56,n
2,1,"Abell  193",21.281749999999995,8.699333333333332,0.049,11.49,10.43,-26.06,1.59,n
3,1,"Abell 1930",218.15816666666663,31.646916666666662,0.131,13.57,12.47,-26.02,4.09,y
4,1,"Abell 1991",223.63116666666664,18.642361111111107,0.059,12.16,11.15,-25.71,1.38,y
5,1,"Abell 2029",227.73387499999995,5.74511111111111,0.077,11.43,10.3,-27.12,15.29,n
6,1,"Abell 2034",227.54879166666663,33.48644444444444,0.113,13.28,12.21,-25.99,6.85,n
7,1,"Abell 2052",229.18537499999996,7.021583333333332,0.035,10.88,9.88,-25.93,2.52,y
8,1,"Abell 2065",230.6000833333333,27.714361111111106,0.073,13.18,12.03,-25.26,4.94,n
9,1,"Abell 2072",231.45274999999998,18.23597222222222,0.127,14.05,12.82,-25.61,3.13,y
10,1,"Abell 2107",234.9127083333333,21.782749999999997,0.041,11.1,10.1,-26.02,1.1,n
11,1,"Abell 2124",236.2459583333333,36.109472222222216,0.066,12.1,11.05,-26.04,1.35,n
12,1,"Abell 2175",245.12974999999997,29.890972222222217,0.095,12.96,11.78,-26.07,2.93,n
13,1,"Abell 2204",248.19462499999997,5.57525,0.152,13.37,12.23,-26.57,21.25,y
14,1,"Abell 2244",255.6770833333333,34.06019444444444,0.097,12.7,11.59,-26.29,9.34,n
15,1,"Abell 2259",260.0402083333333,27.668861111111106,0.164,13.96,12.77,-26.17,6.66,n
16,1,"Abell 2292",269.27787499999994,53.86041666666666,0.119,13.12,12.06,-26.24,0.73,y
17,1,"Abell 2345",321.8071666666666,-12.16286111111111,0.177,13.84,12.6,-26.48,9.93,n
18,1,"Abell 2377",326.48799999999994,-10.105194444444443,0.081,13.16,12.07,-25.44,3.17,n
19,1,"Abell 2382",327.9817916666666,-15.705999999999998,0.062,12.49,11.43,-25.54,0.91,n
20,1,"Abell 2384",328.0915416666666,-19.546833333333332,0.094,13.74,12.59,-25.24,6.82,n
21,1,"Abell 2402",329.62037499999997,-9.797138888888888,0.081,12.84,11.67,-25.85,2.02,n
22,1,"Abell 2415",331.39787499999994,-5.536027777777777,0.058,12.51,11.46,-25.37,1.69,n
23,1,"Abell 2426",333.63162499999993,-10.373972222222221,0.098,13.09,12.07,-25.83,5.1,n
24,1,"Abell 2428",334.06499999999994,-9.333249999999998,0.085,12.71,11.64,-25.98,2.45,n
25,1,"Abell 2443",336.53304166666663,17.356527777777774,0.108,13.11,11.98,-26.13,3.23,n
26,1,"Abell 2457",338.91999999999996,1.4848888888888887,0.059,11.86,10.83,-26.05,1.44,n
27,1,"Abell 2495",342.5822083333333,10.903555555555554,0.078,12.78,11.69,-25.74,2.98,y
28,1,"Abell 2496",342.7327083333333,-16.40611111111111,0.123,13.09,11.92,-26.45,3.71,n
29,1,"Abell 2589",350.98937499999994,16.77725,0.042,11.35,10.31,-25.83,1.88,n
30,1,"Abell 2593",351.0837083333333,14.647138888888886,0.043,11.38,10.36,-25.84,1.17,n
31,1,"Abell 2597",351.33216666666664,-12.124166666666666,0.085,13.32,12.31,-25.31,7.97,y
32,1,"Abell 2622",353.75624999999997,27.372361111111108,0.062,12.39,11.38,-25.6,1.09,n
33,1,"Abell 2626",354.12745833333327,21.147166666666664,0.057,11.84,10.75,-26.03,1.96,n
34,1,"Abell 2627",354.1754166666666,23.924749999999996,0.126,13.73,12.51,-25.9,3.33,n
35,1,"Abell 2665",342.7106666666666,6.149694444444443,0.056,11.85,10.74,-26.03,1.9,y
36,1,"Abell 2717",0.8040833333333333,-35.93711111111111,0.05,12.0,10.94,-25.57,1.01,n
37,1,"Abell 2734",2.8402499999999997,-28.854305555555552,0.062,12.22,11.17,-25.81,2.55,y
38,1,"Abell  376",41.516375,36.905222222222214,0.049,11.89,10.78,-25.7,1.38,n
39,1,"Abell  399",44.471374999999995,13.030888888888887,0.072,11.85,10.84,-26.43,6.4,n
40,1,"Abell  401",44.74074999999999,13.582694444444442,0.074,12.13,10.91,-26.42,9.94,n
41,2,"Abell  115",14.000999999999998,26.342138888888886,0.197,14.65,13.4,-25.91,14.59,y
42,2,"Abell 1201",168.2270833333333,13.435805555555554,0.169,14.45,13.16,-25.84,6.28,n
43,2,"Abell 1204",168.33549999999997,17.595138888888886,0.171,14.7,13.58,-25.44,7.26,y
44,2,"Abell 1246",170.99479166666663,21.479805555555554,0.19,14.99,13.67,-25.57,7.62,n
45,2,"Abell 1423",179.32241666666664,33.61136111111111,0.213,15.06,13.65,-25.81,10.03,n
46,2,"Abell 1553",187.70391666666663,10.546777777777777,0.165,13.71,12.6,-26.35,7.3,n
47,2,"Abell 1682",196.69091666666665,46.55913888888888,0.234,14.43,13.12,-26.54,11.26,n
48,2,"Abell 1704",198.60279166666663,64.5756111111111,0.221,14.79,13.56,-25.98,7.83,n
49,2,"Abell 1758",203.16079166666663,50.56074999999999,0.279,15.34,13.96,-26.05,11.68,n
50,2,"Abell 1763",203.83391666666662,41.00105555555555,0.223,14.44,13.11,-26.44,14.93,n
51,2,"Abell 1835",210.2585833333333,2.8786388888888883,0.253,14.36,12.92,-26.89,38.53,y
52,2,"Abell 1914",216.48599999999996,37.8165,0.171,14.09,12.85,-26.18,18.39,n
53,2,"Abell 1961",221.13258333333332,31.226861111111106,0.232,14.86,13.52,-26.11,6.6,-
